# Delays	Number of gates	Number of optimal gates	Difference
13.9602272727	57	50	7
10.2351648352	119	99	20
10.6013986014	55	50	5
12.5837320574	34	31	3
9.83739837398	17	17	0
13.0495049505	15	14	1
10.8869565217	22	18	4
10.6481481481	20	17	3
9.85853658537	57	51	6
9.91810344828	29	26	3
14.6536796537	31	26	5
12.4035087719	17	16	1
14.4752066116	155	137	18
13.2486187845	30	28	2
10.64013267	80	68	12
8.32300884956	34	30	4
9.47040498442	48	43	5
8.37010676157	41	37	4
13.8851603281	171	142	29
8.37356321839	27	23	4
9.0294627383	81	72	9
10.6674208145	115	86	29
11.1699716714	51	48	3
13.3223570191	72	61	11
14.5082987552	58	56	2
13.966507177	86	68	18
11.4576271186	30	25	5
10.1632270169	68	60	8
10.880794702	23	21	2
10.0145772595	47	44	3
10.9674185464	59	53	6
10.3098591549	21	18	3
8.16893424036	120	106	14
12.5397260274	89	75	14
9.69874476987	68	61	7
9.62230215827	69	61	8
9.65584415584	26	20	6
26.8099173554	20	17	3
21.5735294118	22	19	3
11.8516075845	175	152	23
8.51339285714	33	32	1
13.6363636364	17	16	1
16.8407079646	40	38	2
9.1593220339	44	39	5
11.0719211823	245	211	34
8.03982300885	29	26	3
9.7252173913	78	74	4
7.95275590551	50	41	9
11.1841004184	33	28	5
8.04536489152	67	62	5
9.99453551913	27	23	4
8.16176470588	38	33	5
9.36440677966	19	18	1
11.5658914729	71	63	8
8.90987124464	30	26	4
11.8541666667	20	18	2
9.52076677316	180	158	22
9.83185840708	17	15	2
11.0081967213	20	19	1
12.109919571	51	44	7
11.0412844037	63	54	9
13.174	75	58	17
13.3640922768	134	104	30
10.8163934426	53	48	5
9.54468085106	33	28	5
9.58333333333	18	16	2
6.89423076923	16	14	2
12.0673076923	19	17	2
8.80216802168	52	45	7
7.4203539823	29	27	2
15.9439252336	29	25	4
16.7641509434	17	15	2
18.2468007313	135	117	18
12.8805031447	30	27	3
9.21946564885	68	61	7
15.506097561	27	22	5
13.4014869888	40	35	5
15.5421686747	39	34	5
21.9984459984	180	142	38
10.8648648649	23	20	3
14.0926315789	75	63	12
17.8274509804	98	83	15
12.3033333333	45	41	4
24.6342857143	61	56	5
13.2241813602	56	54	2
44.2342657343	79	65	14
14.6294642857	28	24	4
14.0963114754	65	55	10
19.8195488722	24	20	4
8.6234939759	44	40	4
26.9263157895	55	48	7
11.4278215223	118	99	19
11.3808095952	87	76	11
28.0736434109	67	65	2
12.5145348837	72	61	11
13.4779411765	23	20	3
21.0277777778	20	16	4
13.8433268859	155	140	15
6.8995215311	32	32	0
13.1067961165	17	14	3
21.5449438202	37	30	7
14.2761506276	34	31	3
11.9792883696	237	199	38
11.4950980392	30	26	4
18.7820267686	80	75	5
18.7068965517	47	39	8
14.8636363636	33	28	5
10.672489083	63	51	12
16.7485380117	28	25	3
10.127340824	39	34	5
11.5405405405	19	19	0
87.0090909091	59	55	4
7.14090909091	28	24	4
24.8205128205	20	18	2
10.2761037141	169	147	22
12.3551401869	18	15	3
16.21	17	14	3
13.7307692308	47	40	7
18.7153465347	61	53	8
15.1685144124	73	64	9
13.3185731857	108	93	15
24.7425149701	32	28	4
15.0492610837	32	27	5
9.78512396694	19	18	1
17.787037037	20	17	3
6.12745098039	18	18	0
18.3766578249	58	45	13
7.99565217391	29	26	3
9.72197309417	31	26	5
18.3653846154	16	14	2
16.4924578527	144	117	27
22.251497006	28	25	3
10.3100158983	81	68	13
19.5268817204	31	25	6
25.5890410959	53	45	8
7.28832116788	41	37	4
30.0161912105	197	150	47
19.1964285714	29	25	4
18.0948766603	77	62	15
13.998783455	101	86	15
15.0396341463	51	44	7
13.1327561328	92	78	14
16.2418604651	56	46	10
20.4099099099	78	68	10
11.6724137931	28	26	2
13.1257142857	74	64	10
12.9432624113	22	21	1
9.74850299401	47	40	7
16.6160714286	60	53	7
29.6166666667	21	17	4
11.9824355972	119	100	19
25.2696335079	72	64	8
20.4057649667	67	55	12
23.8354114713	68	59	9
28.013986014	26	22	4
18.9902912621	16	16	0
30.2393162393	24	22	2
16.9099437148	164	139	25
7.8679245283	32	32	0
23.2549019608	39	33	6
19.5137254902	42	34	8
12.9974836437	242	206	36
12.9209302326	29	25	4
13.7145522388	81	73	8
16.7598784195	55	46	9
10.4061135371	31	28	3
9.3685300207	67	55	12
12.4678362573	26	23	3
7.1015037594	38	36	2
12.4065420561	116	96	20
45.9614325069	66	55	11
9.0269058296	28	23	5
16.8692307692	21	19	2
12.397979798	179	154	25
14.2477876106	17	15	2
10.4821428571	21	17	4
23.6558823529	53	44	9
18.990521327	69	60	9
21.0628930818	74	58	16
9.40517241379	19	19	0
27.0224719101	57	54	3
11.537037037	33	28	5
29.6446280992	19	18	1
21.5480769231	19	17	2
18.9557522124	21	18	3
8.16216216216	21	20	1
14.4963325183	60	49	11
15.1260869565	31	25	6
13.4115044248	32	28	4
20.7672413793	19	18	1
16.7197032152	160	128	32
17.8967391304	33	29	4
11.2470414201	81	68	13
15.5714285714	31	27	4
16.5587301587	48	44	4
12.1423611111	44	37	7
19.4680252987	189	161	28
16.5549450549	32	26	6
19.3276450512	86	68	18
16.9944506104	118	92	26
14.4213483146	52	45	7
16.1044520548	80	68	12
15.7385892116	63	57	6
28.214849921	99	78	21
8.20253164557	29	26	3
14.0810313076	75	69	6
25.8859060403	26	21	5
13.253125	45	40	5
13.6265356265	63	54	9
20.5862068966	24	23	1
12.5940706956	123	104	19
15.8299595142	103	79	24
15.079002079	68	61	7
18.3460207612	72	63	9
11.1132075472	29	24	5
17.9669421488	20	17	3
33.5338345865	23	21	2
24.0760233918	179	155	24
15.0627802691	34	32	2
25.9727272727	15	14	1
18.2869955157	39	32	7
21.575862069	46	42	4
13.2210526316	253	210	43
14.9900990099	33	29	4
18.2658662093	89	80	9
13.1308641975	53	47	6
17.6300813008	38	31	7
15.3019607843	68	56	12
14.1472392638	27	24	3
15.9848484848	39	34	5
16.3217391304	19	19	0
20.257751938	72	65	7
19.380952381	31	25	6
13.2916666667	21	18	3
13.0982849604	190	156	34
22.018018018	18	15	3
13.1	19	16	3
17.6084656085	54	46	8
15.0448430493	69	61	8
17.6660341556	78	64	14
18.7200878156	132	107	25
24.3223684211	54	47	7
14.4678111588	34	31	3
12.8429752066	19	17	2
19.4952380952	19	16	3
27.0847457627	20	19	1
13.896039604	57	47	10
13.6536796537	30	26	4
11.349137931	30	28	2
23.1698113208	17	14	3
13.971169687	155	128	27
25.7848837209	32	26	6
18.5090634441	89	70	19
18.0139534884	31	27	4
21.3606557377	51	43	8
10.2698961938	41	38	3
49.2666060055	179	140	39
12.5168539326	28	24	4
17.2601054482	82	70	12
13.3465011287	107	85	22
11.8735632184	49	44	5
18.6427350427	77	67	10
15.7724425887	60	52	8
23.1591639871	95	77	18
8.3557312253	30	27	3
24.8738229755	77	67	10
28.0266666667	27	23	4
20.1929133858	46	39	7
17.6315789474	64	57	7
24.843537415	25	22	3
13.1152968037	121	109	12
17.4465493911	95	76	19
16.4789915966	70	61	9
15.7228070175	76	63	13
20.0569620253	29	23	6
11.9576271186	18	15	3
11.2279411765	22	20	2
19.1263598326	173	155	18
12.2488687783	34	31	3
23.1428571429	42	37	5
19.7862318841	44	39	5
17.8258950466	246	220	26
28.18	32	28	4
13.5	83	76	7
11.7222222222	52	48	4
22.6422413793	39	33	6
13.3226452906	68	56	12
26.2051282051	29	26	3
19.8739495798	37	32	5
12.5254237288	20	18	2
17.6124031008	74	65	9
10.2735042735	28	25	3
24.6928571429	24	20	4
15.0816599732	187	158	29
27.0714285714	18	15	3
17.3445378151	21	17	4
14.4112903226	53	43	10
21.6728723404	60	54	6
18.3268858801	80	64	16
44.2220708447	142	110	32
25.0721311475	57	53	4
31.5882352941	31	27	4
20.1724137931	20	18	2
12.1650793651	45	37	8
6.14743589744	24	20	4
5.93377483444	23	19	4
17.5410334347	134	118	16
13.0427350427	21	18	3
8.79885057471	67	59	8
12.1360544218	20	18	2
12.5384615385	36	30	6
9.06222222222	33	31	2
19.8402710552	150	135	15
11.0558659218	34	29	5
14.1731092437	87	71	16
15.0323943662	96	78	18
10.4504792332	49	41	8
15.3105590062	46	40	6
16.9750519751	58	53	5
6.97872340426	31	27	4
15.0866141732	59	53	6
20.724137931	21	18	3
8.80088495575	40	36	4
22.0066666667	49	46	3
32.2265625	22	20	2
9.77209944751	117	88	29
13.2556270096	87	73	14
15.3387096774	57	45	12
14.6869565217	19	17	2
22.664516129	27	24	3
12.6096997691	146	129	17
5.85430463576	25	25	0
27.4206349206	27	24	3
11.1379310345	32	27	5
14.0795241077	206	182	24
9.26086956522	26	23	3
11.6658986175	69	60	9
9.3	38	33	5
10.6234567901	29	27	2
10.6153846154	64	54	10
9.72131147541	20	17	3
8.05732484076	26	26	0
13.5691489362	57	47	10
27.7488687783	68	57	11
6.96052631579	24	21	3
10.1489191353	164	137	27
16.3134715026	59	53	6
18.1671232877	65	54	11
20.5273972603	53	46	7
11.9470404984	52	48	4
15.0222841226	105	93	12
13.628959276	58	56	2
17.4944444444	33	29	4
13.0909090909	18	16	2
23.2037037037	17	14	3
19.2767857143	20	18	2
14.9122340426	52	45	7
14.887755102	32	30	2
9.93401015228	26	24	2
19.4752475248	18	16	2
16.3776041667	134	112	22
19.3333333333	26	23	3
14.137755102	79	69	10
14.8473684211	32	25	7
16.4578754579	49	44	5
17.3970037453	37	32	5
26.4347079038	175	145	30
16.0171428571	29	23	6
15.2677029361	83	74	9
11.3333333333	98	82	16
12.0726744186	52	44	8
17.5276679842	74	60	14
12.5239085239	58	51	7
18.1514018692	72	63	9
15.0085106383	29	27	2
16.979338843	72	62	10
14.4485294118	22	19	3
11.9037800687	46	41	5
19.3571428571	61	54	7
22.2323943662	21	20	1
12.1041162228	125	102	23
12.0223463687	94	79	15
14.1634146341	62	51	11
18.0557768924	65	55	10
12.2101449275	24	21	3
8.57547169811	15	14	1
11.7430555556	25	22	3
15.7032967033	160	139	21
11.7055837563	29	25	4
20.89	19	16	3
21.1034482759	36	31	5
17.3568281938	42	38	4
12.9979705733	245	211	34
12.1256281407	29	25	4
17.4334532374	81	73	8
13.7303370787	51	41	10
15.3188405797	33	27	6
16.6745182013	58	50	8
14.0552147239	26	23	3
13.3333333333	36	32	4
8.17	17	17	0
23.7328094303	71	60	11
10.8578680203	28	22	6
22.671875	21	18	3
10.7753623188	180	159	21
10.5377358491	17	15	2
12.8991825613	53	47	6
36.7952755906	53	43	10
21.8063157895	73	63	10
10.8213507625	122	103	19
14.1302816901	53	50	3
10.1203703704	32	30	2
29.7	18	15	3
20.4455445545	17	15	2
16.5225225225	19	16	3
20.4018691589	20	18	2
12.9546599496	57	47	10
12.9910714286	31	29	2
9.56086956522	30	26	4
25.9724770642	18	16	2
13.2283333333	159	138	21
20.4320987654	27	24	3
12.2369747899	80	65	15
11.6186046512	34	28	6
12.1578947368	49	40	9
17.0494699647	40	36	4
21.7852049911	148	124	24
13.3197674419	28	24	4
12.3425605536	83	72	11
19.4885844749	118	93	25
10.5523255814	54	48	6
14.4247787611	75	59	16
10.6855345912	59	51	8
29.5869918699	94	71	23
6.53191489362	28	25	3
18.9118198874	77	63	14
28.306122449	28	24	4
11.7915407855	46	44	2
12.1809045226	58	50	8
20.4246575342	22	21	1
10.2568807339	123	102	21
15.5546334716	99	83	16
11.6778947368	67	60	7
11.215034965	79	66	13
10.6887417219	27	22	5
9.80172413793	19	17	2
10.8914728682	21	18	3
25.9666958808	173	151	22
10.9815668203	32	32	0
14.1682242991	16	16	0
18.2142857143	43	40	3
15.688172043	41	34	7
12.7374274662	250	216	34
13.5837104072	29	26	3
12.8812392427	84	76	8
12.1212121212	52	43	9
17.5434782609	34	29	5
15.2248995984	66	57	9
12.5524861878	27	23	4
12.2767527675	39	37	2
15.7272727273	130	111	19
17.1996086106	72	61	11
12.9527896996	29	26	3
19.9338235294	23	18	5
12.235483871	186	160	26
12.5585585586	18	15	3
9.77586206897	20	18	2
10.9653333333	51	45	6
13.1732954545	49	44	5
18.5620155039	79	68	11
7.46551724138	19	19	0
16.133105802	51	47	4
14.3783783784	33	30	3
9.73529411765	15	14	1
8.46153846154	20	19	1
21.7564469914	68	54	14
10.0228310502	32	29	3
9.20574162679	28	25	3
13.089047195	141	117	24
9.27338129496	24	21	3
8.30652173913	69	61	8
14.1617647059	26	22	4
13.507751938	39	37	2
9.81609195402	39	35	4
19.9685658153	135	112	23
13.175	26	23	3
13.568359375	76	68	8
13.9517923362	106	92	14
13.0697674419	43	40	3
14.3320683112	67	60	7
9.3475	53	51	2
7.87837837838	29	25	4
15.9630390144	69	64	5
11.592920354	17	15	2
19.1464646465	37	32	5
9.9297752809	55	49	6
21.4444444444	18	18	0
9.61074705111	116	98	18
12.2792792793	87	78	9
9.28841607565	61	57	4
8.26219512195	69	60	9
9.78861788618	21	19	2
14.3365384615	17	16	1
12.5161290323	20	18	2
9.43843843844	43	37	6
10.9651741294	33	30	3
22.4112903226	23	18	5
10.2276422764	37	29	8
39.2571428571	179	154	25
18.9337016575	26	23	3
9.27586206897	76	68	8
10.6638176638	51	43	8
10.6224489796	28	23	5
12.0363247863	68	57	11
17.4518518519	24	20	4
13.2718894009	36	31	5
6.35087719298	19	19	0
10.6431718062	62	51	11
10.7741935484	29	23	6
12.781512605	20	18	2
12.0427350427	160	139	21
9.8	17	15	2
15.3669064748	77	66	11
12.0836012862	46	39	7
15.1278846154	164	146	18
21.1103603604	69	60	9
42.8516129032	61	45	16
24.7857142857	48	45	3
45.131147541	24	18	6
26.2980769231	21	18	3
29.7085714286	60	55	5
13.6666666667	29	26	3
14.5680751174	33	26	7
32.7384196185	153	122	31
25.6064516129	25	24	1
17.2148626817	80	64	16
30.8333333333	29	25	4
17.8615384615	39	35	4
18.3223443223	41	38	3
19.2829900839	170	145	25
27.9202453988	31	28	3
25.7950191571	76	65	11
30.3029925187	109	82	27
20.6677740864	52	44	8
19.2941176471	88	74	14
19.7648456057	54	43	11
20.2190305206	75	62	13
10.5670995671	29	25	4
17.8199608611	72	67	5
26.4919354839	20	15	5
16.2749140893	45	41	4
26.7282608696	58	49	9
51.5416666667	20	20	0
16.4348341232	122	95	27
26.0518234165	69	58	11
17.3902912621	69	55	14
27.1338028169	24	21	3
32.8095238095	21	15	6
24.5365853659	21	17	4
13.9220779221	50	46	4
15.3333333333	36	31	5
21.88	30	26	4
13.1195219124	35	31	4
190.480072464	125	103	22
21.5329949239	31	27	4
27.4186915888	83	74	9
25.1340782123	53	44	9
18.4429223744	33	31	2
17.9546391753	71	57	14
27.6503067485	26	23	3
13.0840336134	36	32	4
25.9907692308	55	48	7
37.7945492662	71	58	13
16.9107981221	32	27	5
28.3053435115	21	18	3
25.8884120172	105	87	18
12.7353361946	172	144	28
11.6111111111	17	14	3
16.1004784689	58	50	8
18.9275634995	164	146	18
28.649122807	71	59	12
9.86607142857	19	19	0
36.8014981273	48	43	5
39.904109589	32	30	2
42.0333333333	20	17	3
27.7788461538	18	15	3
12.1696428571	20	17	3
21.3055555556	57	48	9
16.7564102564	32	28	4
16.9022222222	32	27	5
22.5427385892	164	129	35
46.3609467456	32	27	5
18.5226586103	82	68	14
31.2524752475	33	29	4
31.5317725753	49	43	6
17.5246478873	40	37	3
42.8183292782	210	172	38
35.9005847953	31	27	4
27.6049822064	87	75	12
16.5308641975	112	89	23
26.1329305136	53	49	4
28.7619047619	83	65	18
26.1241830065	64	53	11
21.8060897436	92	73	19
7.32773109244	29	26	3
52.6706114398	83	71	12
32.6853146853	25	22	3
25.2222222222	48	45	3
22.4923857868	63	54	9
42.5373134328	24	21	3
17.0974477958	125	101	24
31.8248974008	102	85	17
27.7680525164	66	58	8
21.4723707665	77	64	13
35.3931034483	24	20	4
28.4444444444	20	16	4
20.1145038168	23	20	3
17.432885906	52	48	4
17.8165137615	36	32	4
19.5625	41	35	6
25.6691449814	41	34	7
122.928735632	234	194	40
14.4633027523	30	26	4
29.4108391608	91	81	10
23.5818181818	58	49	9
25.1674208145	35	29	6
18.7821782178	69	55	14
21.7624309392	30	29	1
16.4102564103	40	34	6
24.9438202247	58	46	12
43.1206225681	73	62	11
24.2599118943	30	24	6
36.7328244275	22	18	4
15.9015873016	129	107	22
15.1030383091	189	169	20
15.2522522523	17	16	1
41.6057692308	21	18	3
22.8039215686	17	16	1
26.1804170444	181	147	34
45.135193133	80	57	23
17.8965517241	20	19	1
26.3972125436	52	50	2
36.5446428571	37	32	5
12.6890756303	17	16	1
25.5982142857	21	18	3
6.98305084746	21	18	3
17.1760391198	59	46	13
19.632034632	32	28	4
17.7863247863	33	28	5
20.3243243243	21	17	4
15.151391162	157	135	22
17.6781609195	32	28	4
11.0160818713	79	68	11
22.1924882629	32	27	5
16.6865203762	51	45	6
16.2283737024	42	38	4
22.2706983441	186	152	34
14.7701149425	28	24	4
14.8730434783	81	70	11
16.6822742475	113	87	26
15.5426136364	51	44	7
12.9703832753	73	59	14
14.9077568134	60	57	3
15.5496062992	92	69	23
9.86614173228	30	26	4
18.3295454545	74	66	8
28.2466666667	24	21	3
13.636627907	49	43	6
10.1990049751	58	51	7
30.2517482517	25	22	3
13.1361079865	123	106	17
21.0978552279	99	79	20
15.8197573657	73	63	10
14.6375	26	22	4
15.9083333333	18	17	1
7.19117647059	21	20	1
17.0721153846	66	59	7
15.4009009009	32	31	1
16.1302325581	39	35	4
14.9450171821	43	39	4
35.1356113187	277	236	41
19.9330357143	31	25	6
20.6947368421	86	77	9
15.6817042607	54	45	9
16.0532786885	37	33	4
10.8958742633	66	56	10
19.0944444444	33	29	4
15.8698884758	39	35	4
16.6459459459	56	47	9
12.1245210728	68	61	7
14.5622317597	29	25	4
19.1655172414	23	19	4
16.2060041408	129	109	20
11.1568627451	184	163	21
16.7105263158	17	16	1
23.1764705882	20	18	2
12.6170212766	69	61	8
30.5531167691	184	156	28
23.8594059406	78	65	13
19.1724137931	20	19	1
14.7707641196	51	47	4
14.0643776824	36	30	6
