# Delays	Number of gates	Number of optimal gates	Difference
65.8508287293	69	64	5
118.384057971	34	27	7
45.6041189931	136	101	35
76.2335025381	84	64	20
72.3866348449	75	61	14
109.623126338	73	61	12
42.2781954887	23	21	2
162.519230769	33	28	5
116.301969365	84	67	17
32.1336898396	33	24	9
65.2582781457	28	26	2
54.7955138237	283	219	64
61.0721153846	33	28	5
34.5957792208	99	86	13
48.4722222222	50	44	6
63.6532663317	43	37	6
40.7222222222	71	53	18
48.9204545455	29	25	4
58.0236966825	41	33	8
53.8461538462	18	15	3
181.375	96	73	23
37.5046728972	33	28	5
27.7512195122	194	153	41
75.495412844	19	15	4
47.7433628319	21	17	4
79.9710982659	61	48	13
77.5286738351	190	152	38
80.8991097923	62	48	14
39.3758865248	133	103	30
92.157480315	58	45	13
49.7908163265	32	28	4
46.5298507463	24	20	4
27.4344262295	21	18	3
39.1383495146	67	52	15
42.9086956522	35	31	4
34.3225806452	36	27	9
40.3577170418	168	136	32
66.8692307692	27	22	5
30.6363636364	90	73	17
43.3179487179	32	28	4
73.833976834	52	42	10
32.9862542955	43	36	7
76.7674418605	74	53	21
70.6899224806	24	21	3
65.5682242991	87	72	15
31.9526952695	116	93	23
50.024691358	56	45	11
48.9900568182	111	82	29
42.2026431718	70	54	16
73.1473296501	88	71	17
13.2093023256	29	26	3
48.3113006397	82	66	16
62.5932721713	60	46	14
35.3978494624	62	53	9
54.0181818182	23	18	5
27.2559188275	135	104	31
71.6545012165	82	64	18
66.3071593533	78	61	17
67.5108108108	83	63	20
65.1074380165	25	22	3
113.134751773	32	26	6
58.3608957795	183	161	22
23.691943128	33	28	5
73.3644067797	25	20	5
85.3261802575	48	38	10
52.5745243129	293	232	61
34.0509259259	37	31	6
29.3787085515	85	79	6
37.503164557	49	40	9
68.4507042254	42	34	8
34.3489681051	71	57	14
44.0054347826	31	26	5
59.4398496241	46	37	9
30.9826086957	20	17	3
54.5747126437	72	59	13
39.2162162162	32	26	6
35.7672826831	217	169	48
34.0869565217	17	15	2
55.6363636364	20	18	2
71.7056962025	57	44	13
105.108225108	70	47	23
82.144772118	77	58	19
54.5393386545	140	113	27
75.7985074627	57	49	8
52.095	35	28	7
43.0086206897	20	17	3
9.38679245283	20	18	2
21.0252808989	57	43	14
27.0913461538	29	25	4
20.7804878049	30	26	4
27.0460176991	149	119	30
58.6	26	20	6
30.1828153565	84	68	16
45.4325842697	29	25	4
41.7565543071	53	39	14
17.7423076923	41	37	4
54.5108853411	125	105	20
49.4797297297	32	26	6
47.650671785	84	67	17
23.7905236908	113	89	24
44.053968254	59	46	13
31.9073529412	102	81	21
33.2360801782	59	50	9
32.5476190476	70	59	11
7.9313304721	28	25	3
32.829787234	76	64	12
38.3803680982	48	47	1
24.9351351351	59	50	9
50.694214876	22	20	2
28.8920676203	127	111	16
45.3838383838	83	72	11
46.0705882353	76	57	19
40.983908046	65	53	12
41.3166666667	22	19	3
60.6862745098	20	18	2
64.1363636364	30	25	5
29.2626362735	165	142	23
16.3883495146	33	31	2
42.4117647059	21	17	4
40.6877637131	43	33	10
63.8758769563	313	247	66
21.2376237624	32	27	5
27.8288973384	81	71	10
36.7711864407	55	43	12
35.2216494845	36	27	9
13.5230125523	71	59	12
26.3837209302	32	23	9
27.8352941176	42	33	9
22.4444444444	20	19	1
79.0863874346	64	55	9
23.2898550725	29	23	6
59.1730769231	20	16	4
24.9250681199	198	159	39
20.3762376238	17	16	1
34.5742574257	18	17	1
44.4817073171	54	44	10
35.9880952381	49	36	13
61.5221843003	62	46	16
24.8033635188	121	105	16
52.842519685	55	49	6
29.3033175355	37	29	8
20.814516129	21	18	3
28.5	19	18	1
12.5	19	18	1
24.2647058824	58	49	9
19.875	31	28	3
16.5727272727	30	27	3
26.8878504673	18	16	2
27.5327510917	158	126	32
22.1929824561	26	24	2
18.4248861912	86	71	15
28.612244898	31	24	7
38.5526315789	51	43	8
14.5890909091	42	37	5
41.9937402191	206	159	47
27.3953488372	31	28	3
28.1418439716	83	74	9
34.2200956938	116	90	26
23.6081871345	52	46	6
26.4039548023	98	80	18
19.642384106	60	52	8
36.3026548673	84	72	12
6.47881355932	29	24	5
18.2736030829	68	60	8
30.309352518	23	19	4
22.6763848397	55	51	4
15.835443038	63	56	7
32.3237410072	25	22	3
18.034965035	131	103	28
29.0818505338	82	67	15
24.6877637131	74	64	10
19.2752293578	74	65	9
17.3933333333	24	20	4
30.8245614035	18	16	2
56.6971830986	25	22	3
22.4516728625	174	155	19
16.7836538462	34	32	2
27.568627451	19	16	3
31.5621301775	33	28	5
24.6339622642	43	40	3
25.6343545957	272	216	56
31.5070422535	33	27	6
20.573800738	87	76	11
14.7012658228	55	48	7
24.2913043478	40	33	7
14.6045548654	68	58	10
24.9885057471	33	29	4
25.0676691729	40	35	5
22.5178571429	20	19	1
32.6618852459	72	61	11
22.09375	32	29	3
25.9440559441	25	19	6
19.2864792503	198	173	25
17.5044247788	17	15	2
25.4594594595	19	16	3
29.7972222222	58	48	10
25.6120092379	67	61	6
30.7306843267	76	62	14
25.8269689737	126	108	18
50.8953488372	55	50	5
18.9821428571	34	29	5
31.0	19	19	0
25.3518518519	22	19	3
22.7857142857	19	17	2
15.0544554455	59	46	13
17.3086956522	32	28	4
15.9642857143	32	25	7
18.5272727273	18	17	1
21.1898110107	162	133	29
20.1186440678	33	26	7
11.5465288035	81	69	12
25.520361991	34	30	4
23.0996784566	51	41	10
23.2283737024	42	37	5
32.4009360374	189	155	34
19.347826087	32	28	4
22.558573854	87	75	12
29.0391061453	122	96	26
16.2281690141	54	47	7
22.6791946309	104	85	19
11.2510373444	59	53	6
23.5264	87	71	16
11.347107438	28	24	4
11.791433892	71	63	8
24.4802631579	27	23	4
25.3801169591	50	42	8
16.2088452088	61	53	8
30.4527027027	23	22	1
18.2723112128	123	107	16
17.2745424293	83	62	21
17.1607515658	68	60	8
18.6006825939	73	63	10
15.1847133758	26	21	5
17.3333333333	18	17	1
45.3611111111	25	21	4
20.417157275	183	161	22
13.4260089686	34	32	2
26.8532110092	18	15	3
30.1506849315	41	36	5
24.361774744	48	40	8
17.0081300813	260	221	39
19.972972973	34	28	6
14.9380378657	83	75	8
14.1831683168	54	44	10
20.1115702479	39	32	7
12.7745098039	69	56	13
24.9421965318	31	25	6
31.3203125	44	36	8
27.0462962963	20	18	2
25.2906309751	72	62	10
25.5278969957	33	28	5
18.4084507042	24	19	5
22.369189907	203	170	33
17.8070175439	17	16	1
20.0166666667	21	18	3
23.5778364116	57	46	11
28.8917647059	58	50	8
14.6557692308	74	61	13
20.25382263	137	111	26
25.7372013652	57	52	5
17.7086956522	38	32	6
16.9016393443	20	18	2
28.2772277228	19	18	1
35.5315315315	19	18	1
17.7457627119	20	17	3
19.2457002457	59	46	13
17.8744588745	32	27	5
13.8898678414	32	26	6
31.525862069	18	18	0
16.8402948403	158	133	25
32.2259887006	34	27	7
13.0221238938	86	71	15
22.9255813953	38	30	8
25.7611464968	55	49	6
17.7889273356	43	37	6
41.6328538986	204	152	52
21.1299435028	29	24	5
22.9054982818	85	70	15
25.5982241953	123	97	26
18.566572238	54	44	10
17.3231788079	97	80	17
18.4575569358	62	54	8
39.7	94	70	24
23.3449612403	29	27	2
24.9497206704	75	63	12
23.9802631579	25	19	6
17.0749279539	47	43	4
33.4813895782	68	57	11
32.8657718121	23	22	1
19.2474804031	122	101	21
28.1684210526	83	66	17
25.0479166667	75	62	13
25.411965812	79	65	14
13.3395061728	26	21	5
20.3174603175	20	17	3
45.4652777778	24	20	4
21.8890756303	179	155	24
14.7937219731	37	31	6
31.6697247706	18	17	1
32.6577777778	43	37	6
23.8442906574	47	37	10
23.6020507812	275	221	54
13.3832599119	32	27	5
12.1601362862	82	77	5
18.2982005141	53	43	10
22.2520661157	39	30	9
18.7563352827	69	56	13
17.2065217391	30	27	3
17.9709090909	39	35	4
15.4912280702	19	19	0
33.0076335878	75	64	11
29.8510638298	30	27	3
21.598540146	23	19	4
17.3540575916	194	160	34
16.8938053097	19	15	4
19.0743801653	20	19	1
19.2466843501	57	45	12
31.9342723005	78	59	19
19.9621212121	81	68	13
16.5799595142	127	107	20
43.2781456954	55	52	3
19.3948497854	38	29	9
21.6086956522	21	18	3
12.7635135135	45	40	5
8.85064935065	23	20	3
9.88079470199	23	20	3
18.4513184584	143	126	17
24.2477876106	19	16	3
31.7287128713	80	63	17
28.2056737589	22	18	4
19.9035532995	34	29	5
12.3930131004	36	33	3
24.0263929619	152	128	24
23.3111111111	37	32	5
38.1430976431	94	78	16
19.2389127325	97	79	18
23.5784313725	53	45	8
21.2820512821	91	76	15
20.7004219409	71	55	16
9.6512605042	31	29	2
16.6105263158	60	58	2
18.9912280702	20	17	3
13.9055793991	44	34	10
29.8344594595	51	44	7
49.1532258065	22	19	3
14.9375866852	112	91	21
34.5975232198	49	42	7
47.6118598383	63	48	15
14.6315789474	19	16	3
59.3473053892	32	26	6
15.442791762	147	125	22
9.41721854305	25	25	0
20.0078125	29	28	1
21.4046242775	30	28	2
39.5675332911	275	215	60
15.16875	26	22	4
14.3890160183	71	58	13
24.3692946058	41	33	8
14.2331288344	28	28	0
19.4079254079	66	52	14
13.3852459016	21	18	3
10.5670731707	27	25	2
39.9086021505	63	51	12
95.8831521739	83	66	17
7.91333333333	24	22	2
15.4344995932	169	145	24
38.2086720867	62	51	11
31.8718662953	71	55	16
16.3787375415	51	50	1
23.517571885	53	46	7
15.1675749319	102	85	17
28.576419214	58	56	2
31.3370165746	36	28	8
12.2909090909	17	16	1
10.1214953271	21	16	5
5.86607142857	20	18	2
19.5666666667	55	48	7
24.4234693878	30	26	4
14.256281407	28	24	4
10.8130841121	17	16	1
18.7611940299	135	113	22
7.57419354839	24	21	3
12.090443686	77	68	9
8.3641025641	30	23	7
10.6549295775	47	44	3
9.47426470588	39	34	5
12.9207317073	181	151	30
12.6494252874	29	24	5
13.4561101549	83	74	9
13.7061611374	102	82	20
14.1812865497	54	47	7
11.0641562064	91	82	9
9.30371900826	57	52	5
16.5249537893	72	60	12
8.58333333333	29	25	4
8.68623481781	70	60	10
