# Delays	Number of gate collisions
9.59831460674	45
8.71153846154	9
10.9351851852	9
9.8202247191	22
8.42814070352	267
10.4741784038	35
8.62383612663	31
8.06940874036	31
9.06306306306	36
10.5210084034	12
8.89142857143	17
9.70948905109	139
7.4	5
5.80530973451	0
14.106918239	78
12.1198156682	28
8.79856115108	10
11.1082337317	323
13.2735849057	4
10.6956521739	14
12.3447293447	42
14.9496676163	169
9.92682926829	34
10.1391509434	119
12.9233449477	44
8.77625570776	30
24.0081300813	10
6.48181818182	10
6.23076923077	3
6.89033942559	2
7.51162790698	4
6.27027027027	3
7.50909090909	2
10.8295053004	97
10.5813953488	8
12.3448275862	150
12.985645933	30
16.2025316456	80
8.1897810219	14
15.1168649405	431
13.3276836158	32
14.8591800357	107
10.514084507	67
18.6907514451	70
5.6592920354	10
11.863340564	74
37.722614841	297
16.4612068966	26
12.9553903346	105
23.2965517241	45
11.9537572254	61
17.4974874372	100
28.1901408451	33
8.93981481481	78
8.70503597122	120
15.3382663848	64
13.3774954628	60
14.3202614379	27
27.5966386555	25
34.8582089552	29
14.3424036281	94
16.1132075472	21
17.3796296296	30
11.852398524	37
10.94417238	405
8.10599078341	27
8.74354243542	37
13.7345360825	69
13.6764705882	64
8.44855967078	17
9.65168539326	27
10.7490636704	24
4.40677966102	2
21.5452631579	76
8.81777777778	9
18.020979021	33
8.71739130435	289
8.97321428571	4
20.6525423729	28
14.3926174497	176
21.4175824176	122
12.6998158379	185
12.3046875	74
11.323798627	150
25.5429553265	76
9.88986784141	50
12.0081300813	5
18.91	19
12.4137931034	22
21.4272727273	11
11.5036855037	19
8.27232142857	1
9.88938053097	13
14.5196078431	2
18.2033195021	126
16.2717391304	6
10.4218289086	135
12.8973214286	30
23.1128526646	82
11.8626760563	25
24.7132459971	646
14.8369565217	36
13.352739726	104
16.1223581758	142
15.0702247191	71
10.5341880342	17
15.4	50
20.9609375	131
8.49579831933	22
13.05	88
18.4248366013	24
11.0057636888	34
13.3014705882	59
28.7074829932	35
10.1291053228	108
12.0732700136	179
14.3381443299	57
16.9008547009	95
9.73291925466	15
15.6290322581	9
20.4347826087	13
18.155210643	118
10.7256637168	12
19.2969432314	15
18.381443299	73
14.6436726927	487
12.3114035088	57
12.8116438356	73
13.1474201474	85
18.1336032389	80
14.4514851485	46
11.9946236559	40
13.8905109489	31
10.813559322	4
15.4186046512	66
11.8412017167	22
22.387755102	41
12.1959896507	425
10.7787610619	0
15.8983050847	15
25.3614864865	274
16.3607427056	90
18.3821070234	218
22.6996197719	69
14.0232088799	233
19.2671009772	43
18.5775862069	53
14.8951612903	16
16.1568627451	16
15.8125	24
20.7796610169	12
12.5514705882	12
10.9598214286	6
10.8836206897	6
11.8547008547	12
14.7329498767	121
17.7923497268	19
10.0516224189	114
12.1919642857	38
18.1588785047	75
14.3249097473	26
22.7341411262	509
9.88888888889	24
11.7696245734	87
11.140954495	108
12.2067039106	54
13.9568965517	37
14.2520661157	40
23.7320574163	101
7.35433070866	29
8.53610108303	75
16.4805194805	29
12.5775862069	46
11.5343137255	36
13.6054421769	15
12.7820224719	119
13.3044058745	198
18.0473251029	79
12.3157894737	49
13.487654321	20
16.1349206349	14
30.5285714286	22
13.7795100223	105
15.9	17
14.1115879828	17
13.5709459459	49
11.9482922201	540
11.451754386	54
13.4896551724	59
10.7665847666	66
12.8709677419	59
13.9012096774	39
10.4945652174	42
9.92	9
16.5169491525	5
8.33333333333	25
15.0127118644	11
15.6530612245	28
11.3063178047	402
9.85714285714	1
17.4274193548	20
10.9033333333	109
16.9762532982	91
14.2034596376	191
10.7555555556	54
14.2485089463	225
15.5081433225	44
10.2118644068	44
9.0	9
11.1337579618	19
6.8322147651	2
7.24503311258	3
14.170212766	106
14.4827586207	18
8.98837209302	61
14.2416107383	20
18.351758794	44
7.44594594595	5
29.0737179487	318
14.0054945055	23
14.1072026801	114
9.90285714286	83
13.4530744337	72
6.88461538462	6
14.4467640919	68
8.0	26
11.6962365591	60
13.7787610619	6
16.5670995671	45
12.6454849498	43
24.8139534884	18
11.3665283541	81
12.9185667752	126
19.3571428571	53
15.5130434783	11
13.6	28
74.5273972603	198
20.8253968254	16
16.5511363636	35
10.4575289575	232
10.7888198758	13
9.60714285714	37
9.184	24
24.5185185185	41
8.36904761905	24
11.384	10
13.3272727273	13
23.0026595745	107
15.4017857143	35
9.84516129032	8
8.82684670373	231
14.0310880829	43
14.1804281346	59
16.7213114754	39
16.2985074627	141
15.9488817891	26
11.2675675676	170
26.3991416309	27
13.904494382	30
13.9454545455	10
15.4134615385	28
7.15178571429	6
10.3956639566	29
11.71875	31
9.66321243523	31
11.21	16
13.6124444444	257
10.6	16
7.60847457627	90
8.80208333333	22
12.9247311828	75
9.60311284047	21
13.4795682344	477
10.0988372093	13
9.08159722222	57
10.0251798561	168
7.75535168196	20
10.5721649485	30
12.8979166667	58
12.9202226345	123
7.30084745763	18
8.37096774194	65
11.5419847328	19
7.57239057239	20
7.84225352113	48
18.4087591241	27
10.568627451	78
9.10953058321	80
19.9958071279	55
10.776119403	6
15.8691588785	11
22.0872483221	18
11.1662125341	123
14.3103448276	38
10.8898678414	59
8.66685746995	350
9.51530612245	37
13.814889336	67
8.17034700315	31
7.21198156682	31
7.82735426009	14
7.3850931677	19
9.76958525346	33
12.4297520661	68
21.1235059761	42
7.171875	14
11.7716535433	25
10.499669967	373
11.2592592593	15
9.30660377358	88
10.9466019417	118
11.3215898826	121
13.9602272727	58
10.2351648352	167
10.6013986014	34
12.5837320574	46
9.83739837398	10
13.0495049505	12
10.8869565217	18
10.6481481481	13
9.85853658537	20
8.51339285714	6
14.6536796537	33
12.4035087719	10
14.4752066116	106
13.2486187845	13
10.64013267	92
8.32300884956	21
9.47040498442	40
8.37010676157	11
13.8851603281	260
8.37356321839	12
9.0294627383	56
10.6674208145	117
11.1699716714	48
9.91810344828	25
14.5082987552	35
13.966507177	47
11.4576271186	39
10.1632270169	100
10.880794702	10
10.0145772595	48
10.9674185464	40
10.3098591549	9
8.16893424036	64
12.5397260274	150
9.69874476987	33
9.62230215827	44
9.65584415584	12
26.8099173554	13
21.5735294118	21
11.0412844037	56
13.6363636364	20
16.8407079646	9
9.1593220339	28
11.0719211823	470
8.03982300885	37
9.7252173913	32
7.95275590551	53
11.1841004184	38
8.04536489152	30
9.99453551913	28
8.16176470588	19
9.36440677966	2
11.5658914729	56
8.90987124464	11
11.8541666667	13
9.52076677316	353
9.83185840708	0
11.0081967213	14
13.3223570191	130
12.109919571	61
11.8516075845	140
13.174	112
13.3640922768	233
10.8163934426	28
9.54468085106	40
9.58333333333	5
6.89423076923	7
12.0673076923	18
8.80216802168	11
6.8995215311	0
15.9439252336	10
16.7641509434	22
18.2468007313	133
12.8805031447	25
9.21946564885	66
15.506097561	17
13.4014869888	36
15.5421686747	26
21.9984459984	608
10.8648648649	20
14.0926315789	87
17.8274509804	151
12.3033333333	36
7.4203539823	6
13.2241813602	55
44.2342657343	16
14.6294642857	29
14.0963114754	109
19.8195488722	39
8.6234939759	37
26.9263157895	14
11.4278215223	106
11.3808095952	164
28.0736434109	21
12.5145348837	22
13.4779411765	25
21.0277777778	11
18.7153465347	112
13.1067961165	13
21.5449438202	24
14.2761506276	33
11.9792883696	352
11.4950980392	45
18.7820267686	132
18.7068965517	14
14.8636363636	65
10.672489083	37
16.7485380117	46
10.127340824	24
11.5405405405	2
87.0090909091	21
7.14090909091	3
24.8205128205	19
10.2761037141	299
12.3551401869	6
16.21	16
24.6342857143	14
13.7307692308	29
13.8433268859	173
15.1685144124	52
13.3185731857	111
24.7425149701	22
15.0492610837	42
9.78512396694	12
17.787037037	32
6.12745098039	3
18.3766578249	31
7.8679245283	3
9.72197309417	6
18.3653846154	17
16.4924578527	171
22.251497006	30
10.3100158983	149
19.5268817204	68
25.5890410959	113
7.28832116788	6
30.0161912105	830
19.1964285714	59
18.0948766603	153
13.998783455	132
15.0396341463	102
7.99565217391	16
16.2418604651	99
20.4099099099	226
11.6724137931	29
13.1257142857	131
12.9432624113	22
9.74850299401	46
16.6160714286	144
29.6166666667	45
11.9824355972	101
25.2696335079	270
20.4057649667	146
23.8354114713	244
28.013986014	63
18.9902912621	20
30.2393162393	54
18.990521327	175
23.2549019608	41
19.5137254902	62
12.9974836437	489
12.9209302326	48
13.7145522388	51
16.7598784195	129
10.4061135371	32
9.3685300207	29
12.4678362573	43
13.1327561328	146
7.1015037594	16
12.4065420561	172
45.9614325069	210
9.0269058296	12
16.8692307692	23
12.397979798	380
14.2477876106	8
10.4821428571	17
23.6558823529	129
16.9099437148	202
21.0628930818	162
9.40517241379	5
27.0224719101	113
11.537037037	42
29.6446280992	13
21.5480769231	27
18.9557522124	31
8.16216216216	11
14.4963325183	39
15.0627802691	21
13.4115044248	13
20.7672413793	23
16.7197032152	178
17.8967391304	28
11.2470414201	157
15.5714285714	43
16.5587301587	66
12.1423611111	28
19.4680252987	574
16.5549450549	39
19.3276450512	129
16.9944506104	212
14.4213483146	65
15.1260869565	23
15.7385892116	71
28.214849921	228
8.20253164557	21
14.0810313076	144
25.8859060403	52
13.253125	38
13.6265356265	47
20.5862068966	29
12.5940706956	121
15.8299595142	264
15.079002079	71
18.3460207612	63
11.1132075472	18
17.9669421488	20
33.5338345865	39
15.0448430493	107
25.9727272727	8
18.2869955157	27
21.575862069	76
13.2210526316	549
14.9900990099	60
18.2658662093	131
13.1308641975	81
17.6300813008	89
15.3019607843	36
14.1472392638	25
15.9848484848	36
16.3217391304	12
20.257751938	95
19.380952381	43
13.2916666667	20
13.0982849604	515
22.018018018	8
13.1	18
16.1044520548	221
17.6084656085	109
24.0760233918	301
17.6660341556	93
18.7200878156	262
24.3223684211	77
14.4678111588	62
12.8429752066	10
19.4952380952	27
27.0847457627	16
13.896039604	32
12.2488687783	12
11.349137931	9
23.1698113208	36
13.971169687	128
25.7848837209	30
18.5090634441	210
18.0139534884	48
21.3606557377	94
10.2698961938	23
49.2666060055	480
12.5168539326	39
17.2601054482	154
13.3465011287	122
11.8735632184	50
13.6536796537	36
15.7724425887	65
23.1591639871	150
8.3557312253	18
24.8738229755	150
28.0266666667	46
20.1929133858	122
17.6315789474	57
24.843537415	32
13.1152968037	105
17.4465493911	217
16.4789915966	72
15.7228070175	40
20.0569620253	48
11.9576271186	10
11.2279411765	20
21.6728723404	55
23.1428571429	32
19.7862318841	78
17.8258950466	691
28.18	105
13.5	63
11.7222222222	73
22.6422413793	104
13.3226452906	59
26.2051282051	57
19.8739495798	69
12.5254237288	5
17.6124031008	63
10.2735042735	20
24.6928571429	45
15.0816599732	609
27.0714285714	5
17.3445378151	33
18.6427350427	153
14.4112903226	84
19.1263598326	222
18.3268858801	78
44.2220708447	633
25.0721311475	60
31.5882352941	61
20.1724137931	10
12.1650793651	16
5.85430463576	0
5.93377483444	0
17.5410334347	100
13.0427350427	21
8.79885057471	82
12.1360544218	16
12.5384615385	28
9.06222222222	7
19.8402710552	351
11.0558659218	24
14.1731092437	131
15.0323943662	69
10.4504792332	59
6.14743589744	2
16.9750519751	70
6.97872340426	13
15.0866141732	69
20.724137931	24
8.80088495575	38
22.0066666667	103
32.2265625	36
9.77209944751	68
13.2556270096	123
15.3387096774	24
14.6869565217	17
22.664516129	27
20.5273972603	58
27.4206349206	18
11.1379310345	23
14.0795241077	346
