# Delays	Number of gate collisions
21.4444444444	21
9.61074705111	89
12.2792792793	166
9.28841607565	20
8.26219512195	14
9.78861788618	13
14.3365384615	2
12.5161290323	7
9.43843843844	31
10.9651741294	15
22.4112903226	18
10.2276422764	28
39.2571428571	128
18.9337016575	45
9.27586206897	36
10.6638176638	28
10.6224489796	38
12.0363247863	25
17.4518518519	36
13.2718894009	15
6.35087719298	2
10.6431718062	53
10.7741935484	20
12.781512605	3
12.0427350427	339
9.8	0
15.3669064748	68
12.0836012862	46
15.1278846154	196
21.1103603604	59
42.8516129032	266
24.7857142857	64
45.131147541	50
26.2980769231	17
29.7085714286	140
13.6666666667	37
14.5680751174	21
32.7384196185	466
25.6064516129	21
17.2148626817	181
30.8333333333	89
17.8615384615	73
18.3223443223	37
19.2829900839	609
27.9202453988	79
25.7950191571	173
30.3029925187	377
20.6677740864	105
19.2941176471	209
19.7648456057	87
20.2190305206	199
10.5670995671	32
17.8199608611	149
26.4919354839	25
16.2749140893	90
26.7282608696	94
51.5416666667	40
16.4348341232	173
26.0518234165	225
17.3902912621	74
27.1338028169	35
32.8095238095	38
24.5365853659	29
13.9220779221	75
15.3333333333	15
21.88	32
13.1195219124	31
190.480072464	1009
21.5329949239	73
27.4186915888	98
25.1340782123	115
18.4429223744	66
17.9546391753	79
27.6503067485	48
13.0840336134	32
25.9907692308	136
37.7945492662	136
16.9107981221	37
28.3053435115	29
25.8884120172	333
12.7353361946	447
11.6111111111	4
16.1004784689	80
18.9275634995	245
28.649122807	136
9.86607142857	1
36.8014981273	74
39.904109589	83
42.0333333333	22
27.7788461538	41
12.1696428571	13
21.3055555556	43
17.8165137615	18
16.9022222222	21
22.5427385892	195
46.3609467456	53
18.5226586103	157
31.2524752475	88
31.5317725753	81
17.5246478873	22
42.8183292782	861
35.9005847953	51
27.6049822064	161
16.5308641975	188
26.1329305136	76
16.7564102564	23
26.1241830065	137
21.8060897436	167
7.32773109244	25
52.6706114398	437
32.6853146853	32
25.2222222222	66
22.4923857868	97
42.5373134328	55
17.0974477958	175
31.8248974008	315
27.7680525164	99
21.4723707665	75
35.3931034483	34
28.4444444444	29
20.1145038168	28
17.432885906	26
19.5625	20
25.6691449814	67
122.928735632	1642
14.4633027523	64
29.4108391608	146
23.5818181818	109
25.1674208145	71
18.7821782178	49
21.7624309392	37
16.4102564103	36
24.9438202247	120
43.1206225681	112
24.2599118943	32
36.7328244275	49
15.9015873016	285
15.1030383091	572
15.2522522523	2
41.6057692308	41
28.7619047619	261
22.8039215686	33
26.1804170444	269
45.135193133	191
17.8965517241	12
26.3972125436	66
36.5446428571	99
12.6890756303	4
25.5982142857	43
6.98305084746	14
17.1760391198	30
15.4009009009	15
17.7863247863	24
20.3243243243	33
15.151391162	158
17.6781609195	23
11.0160818713	127
22.1924882629	69
16.6865203762	78
16.2283737024	29
22.2706983441	608
14.7701149425	36
14.8730434783	106
16.6822742475	152
15.5426136364	76
19.632034632	57
14.9077568134	73
15.5496062992	83
9.86614173228	25
18.3295454545	196
28.2466666667	29
13.636627907	60
10.1990049751	44
30.2517482517	41
13.1361079865	109
21.0978552279	261
15.8197573657	51
14.6375	24
15.9083333333	15
7.19117647059	6
17.0721153846	109
16.1302325581	16
14.9450171821	49
35.1356113187	1538
19.9330357143	52
20.6947368421	132
15.6817042607	105
16.0532786885	68
10.8958742633	38
19.0944444444	56
15.8698884758	33
16.6459459459	97
12.1245210728	37
14.5622317597	29
19.1655172414	35
16.2060041408	209
11.1568627451	406
16.7105263158	0
23.1764705882	40
12.9703832753	144
12.6170212766	46
30.5531167691	353
23.8594059406	187
19.1724137931	9
14.7707641196	37
14.0643776824	57
