# Percentage of extra gates	Number of reassignment	Number of overflow gates
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	56	11
1	53	12
2	49	11
3	44	8
4	39	9
5	32	10
6	30	6
7	27	9
8	27	4
9	24	5
10	21	6
11	21	3
12	21	3
13	19	3
14	18	3
15	17	3
16	16	1
17	16	3
18	14	2
19	13	3
20	11	1
21	11	2
22	9	1
23	8	0
24	8	0
25	8	0
26	8	0
27	8	0
28	8	1
29	8	0
30	7	0
31	7	0
32	6	0
33	6	0
34	6	0
35	5	0
36	5	0
37	4	0
38	4	0
39	4	0
40	4	0
41	4	0
42	4	0
43	4	0
44	4	0
45	4	0
46	4	0
47	4	0
48	4	0
49	4	0
50	4	0
51	4	0
52	4	0
53	4	0
54	4	0
55	4	0
56	4	0
57	4	0
58	4	0
59	4	0
60	4	0
61	4	0
62	4	0
63	4	0
64	4	0
65	4	0
66	4	0
67	4	0
68	4	0
69	4	0
70	4	0
71	4	0
72	4	0
73	4	0
74	4	0
75	4	0
76	4	0
77	4	0
78	4	0
79	4	0
80	4	0
81	4	0
82	4	0
83	2	0
84	2	0
85	1	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	321	39
1	271	31
2	238	28
3	201	25
4	171	21
5	154	18
6	131	15
7	115	13
8	102	11
9	96	10
10	80	9
11	71	9
12	62	6
13	59	6
14	51	4
15	44	6
16	42	5
17	39	4
18	39	2
19	35	1
20	32	0
21	32	0
22	31	0
23	28	0
24	28	0
25	26	0
26	25	0
27	22	0
28	20	0
29	19	0
30	18	0
31	17	0
32	14	0
33	12	0
34	12	0
35	11	0
36	11	0
37	10	0
38	10	0
39	10	0
40	10	0
41	10	0
42	10	0
43	10	0
44	10	0
45	10	0
46	10	0
47	10	0
48	10	0
49	10	0
50	10	0
51	10	0
52	10	0
53	10	0
54	10	0
55	10	0
56	10	0
57	10	0
58	10	0
59	10	0
60	10	0
61	10	0
62	10	0
63	10	0
64	10	0
65	10	0
66	10	0
67	10	0
68	10	0
69	10	0
70	10	0
71	10	0
72	10	0
73	10	0
74	10	0
75	10	0
76	10	0
77	10	0
78	10	0
79	7	0
80	7	0
81	4	0
82	4	0
83	4	0
84	4	0
85	4	0
86	3	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	22	4
1	18	4
2	13	3
3	10	2
4	8	2
5	8	3
6	7	2
7	6	2
8	6	2
9	6	2
10	5	2
11	4	2
12	3	1
13	3	1
14	2	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	0
20	1	1
21	1	1
22	1	1
23	1	1
24	1	1
25	1	1
26	1	1
27	1	1
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	28	7
1	22	6
2	21	6
3	18	5
4	14	4
5	13	4
6	10	3
7	8	4
8	8	3
9	6	2
10	6	2
11	5	2
12	4	1
13	4	2
14	4	2
15	3	1
16	3	1
17	3	1
18	3	1
19	3	1
20	3	1
21	3	1
22	3	1
23	3	1
24	3	1
25	3	1
26	3	1
27	3	1
28	3	1
29	3	1
30	3	1
31	3	1
32	3	1
33	3	1
34	3	1
35	3	1
36	3	1
37	3	1
38	3	1
39	3	0
40	3	1
41	3	1
42	3	1
43	3	1
44	3	1
45	3	1
46	3	0
47	3	1
48	3	0
49	3	1
50	3	0
51	2	0
52	2	0
53	2	0
54	2	0
55	2	0
56	2	0
57	2	0
58	2	0
59	2	0
60	2	0
61	2	0
62	2	0
63	2	0
64	2	0
65	2	0
66	2	0
67	2	0
68	2	0
69	2	0
70	2	0
71	2	0
72	2	0
73	2	0
74	2	0
75	2	0
76	2	0
77	2	0
78	2	0
79	2	0
80	2	0
81	2	0
82	2	0
83	2	0
84	1	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	104	18
1	92	16
2	81	12
3	66	10
4	54	11
5	48	10
6	46	8
7	38	8
8	32	8
9	28	7
10	21	5
11	22	4
12	17	3
13	17	2
14	13	2
15	12	1
16	12	1
17	11	2
18	9	1
19	8	2
20	8	2
21	8	2
22	8	1
23	6	1
24	6	1
25	6	1
26	5	1
27	5	1
28	5	0
29	5	1
30	4	0
31	4	0
32	4	0
33	4	0
34	4	0
35	4	0
36	4	0
37	4	0
38	4	0
39	4	0
40	4	0
41	4	0
42	4	0
43	4	0
44	4	0
45	4	0
46	4	0
47	4	0
48	4	0
49	4	0
50	4	0
51	4	0
52	4	0
53	4	0
54	4	0
55	4	0
56	4	0
57	4	0
58	4	0
59	4	0
60	4	0
61	4	0
62	4	0
63	4	0
64	4	0
65	4	0
66	4	0
67	4	0
68	4	0
69	4	0
70	4	0
71	4	0
72	4	0
73	3	0
74	3	0
75	3	0
76	3	0
77	3	0
78	3	0
79	2	0
80	2	0
81	2	0
82	2	0
83	2	0
84	2	0
85	1	0
86	1	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	773	84
1	637	70
2	529	55
3	425	49
4	350	41
5	301	31
6	248	26
7	227	25
8	177	17
9	159	15
10	131	9
11	116	8
12	98	8
13	86	1
14	80	1
15	73	4
16	64	1
17	61	1
18	55	2
19	52	1
20	49	1
21	44	0
22	39	0
23	35	0
24	33	0
25	31	0
26	31	0
27	28	0
28	26	0
29	25	0
30	25	0
31	25	0
32	25	0
33	25	0
34	25	0
35	24	0
36	24	0
37	23	0
38	23	0
39	21	0
40	21	0
41	20	0
42	19	0
43	19	0
44	18	0
45	18	0
46	17	0
47	17	0
48	17	0
49	16	0
50	15	0
51	15	0
52	15	0
53	15	0
54	15	0
55	15	0
56	15	0
57	15	0
58	15	0
59	14	0
60	13	0
61	13	0
62	13	0
63	13	0
64	13	0
65	13	0
66	13	0
67	13	0
68	13	0
69	13	0
70	13	0
71	13	0
72	13	0
73	13	0
74	12	0
75	12	0
76	12	0
77	11	0
78	11	0
79	11	0
80	11	0
81	11	0
82	11	0
83	10	0
84	9	0
85	9	0
86	8	0
87	7	0
88	4	0
89	2	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	53	10
1	42	6
2	33	6
3	30	6
4	19	3
5	15	3
6	11	2
7	8	2
8	7	1
9	6	2
10	6	2
11	6	1
12	4	0
13	3	1
14	2	0
15	1	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	62	10
1	44	10
2	38	8
3	34	5
4	30	6
5	29	5
6	24	4
7	21	4
8	18	4
9	18	4
10	14	2
11	11	1
12	10	0
13	9	0
14	9	0
15	8	1
16	7	0
17	4	0
18	4	0
19	4	0
20	4	0
21	4	0
22	4	0
23	4	0
24	4	0
25	4	0
26	4	0
27	4	0
28	4	0
29	4	0
30	4	0
31	4	0
32	4	0
33	4	0
34	4	0
35	4	0
36	4	0
37	4	0
38	4	0
39	4	0
40	4	0
41	4	0
42	4	0
43	4	0
44	4	0
45	4	0
46	4	0
47	4	0
48	4	0
49	4	0
50	4	0
51	4	0
52	4	0
53	4	0
54	4	0
55	4	0
56	4	0
57	4	0
58	4	0
59	4	0
60	4	0
61	4	0
62	4	0
63	4	0
64	4	0
65	4	0
66	4	0
67	4	0
68	4	0
69	4	0
70	4	0
71	4	0
72	4	0
73	4	0
74	4	0
75	4	0
76	4	0
77	4	0
78	4	0
79	4	0
80	4	0
81	4	0
82	4	0
83	4	0
84	4	0
85	4	0
86	3	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	82	10
1	68	8
2	62	7
3	53	7
4	52	6
5	38	6
6	32	3
7	30	2
8	24	3
9	18	2
10	19	2
11	17	1
12	15	1
13	14	0
14	13	0
15	12	0
16	9	1
17	9	0
18	8	0
19	7	0
20	5	0
21	5	0
22	5	0
23	5	0
24	4	0
25	3	0
26	3	0
27	3	0
28	2	0
29	2	0
30	2	0
31	2	0
32	2	0
33	1	0
34	1	0
35	1	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	98	15
1	77	16
2	73	14
3	67	12
4	56	12
5	46	11
6	43	9
7	40	10
8	32	9
9	28	7
10	24	7
11	20	6
12	19	7
13	17	5
14	17	5
15	15	3
16	13	5
17	10	5
18	8	4
19	6	4
20	6	3
21	6	4
22	6	2
23	6	3
24	6	2
25	5	0
26	4	1
27	3	0
28	1	0
29	1	0
30	1	0
31	1	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
51	1	0
52	1	0
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	66	8
1	47	8
2	44	5
3	43	6
4	31	4
5	29	3
6	25	3
7	20	3
8	19	3
9	17	3
10	16	3
11	15	2
12	13	1
13	12	1
14	12	1
15	11	1
16	10	1
17	8	1
18	7	1
19	7	1
20	7	1
21	7	1
22	7	1
23	7	0
24	7	0
25	7	0
26	7	0
27	7	0
28	7	0
29	7	0
30	6	0
31	6	0
32	6	0
33	6	0
34	6	0
35	6	0
36	6	0
37	6	0
38	6	0
39	6	0
40	6	0
41	5	0
42	5	0
43	5	0
44	5	0
45	5	0
46	5	0
47	5	0
48	5	0
49	5	0
50	5	0
51	5	0
52	5	0
53	5	0
54	5	0
55	5	0
56	5	0
57	5	0
58	5	0
59	5	0
60	5	0
61	5	0
62	5	0
63	5	0
64	5	0
65	5	0
66	5	0
67	5	0
68	5	0
69	5	0
70	5	0
71	5	0
72	5	0
73	5	0
74	5	0
75	5	0
76	5	0
77	5	0
78	5	0
79	5	0
80	5	0
81	5	0
82	5	0
83	4	0
84	4	0
85	4	0
86	2	0
87	1	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	61	11
1	49	8
2	45	7
3	31	5
4	25	4
5	19	2
6	16	5
7	15	3
8	14	3
9	11	4
10	12	3
11	11	1
12	11	1
13	8	1
14	7	0
15	5	1
16	4	0
17	4	1
18	3	0
19	3	0
20	2	0
21	1	0
22	1	0
23	1	0
24	1	0
25	1	0
26	1	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	72	12
1	66	10
2	57	11
3	47	9
4	39	9
5	35	8
6	32	6
7	30	5
8	23	6
9	21	4
10	19	4
11	17	3
12	14	2
13	12	3
14	9	3
15	9	3
16	9	2
17	8	2
18	8	1
19	8	3
20	5	1
21	5	1
22	4	0
23	4	0
24	3	1
25	2	0
26	1	0
27	1	0
28	1	0
29	1	0
30	1	0
31	1	0
32	1	0
33	1	0
34	1	0
35	1	0
36	1	0
37	1	0
38	1	0
39	1	0
40	1	0
41	1	0
42	1	0
43	1	0
44	1	0
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
51	1	0
52	1	0
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	10	1
1	8	1
2	6	1
3	6	1
4	3	0
5	3	0
6	2	0
7	1	0
8	1	0
9	1	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	72	12
1	60	11
2	59	11
3	48	8
4	41	8
5	40	9
6	37	7
7	34	6
8	31	7
9	31	5
10	27	5
11	24	5
12	22	5
13	21	4
14	22	5
15	18	4
16	16	3
17	16	2
18	16	1
19	15	2
20	14	1
21	12	1
22	11	0
23	9	1
24	9	1
25	8	0
26	8	0
27	8	0
28	7	1
29	5	0
30	5	0
31	4	0
32	3	0
33	3	0
34	3	0
35	3	0
36	3	0
37	3	0
38	3	0
39	2	0
40	2	0
41	2	0
42	2	0
43	2	0
44	2	0
45	1	0
46	1	0
47	1	0
48	1	0
49	1	0
50	1	0
51	1	0
52	1	0
53	1	0
54	1	0
55	1	0
56	1	0
57	1	0
58	1	0
59	1	0
60	1	0
61	1	0
62	1	0
63	1	0
64	1	0
65	1	0
66	1	0
67	1	0
68	1	0
69	1	0
70	1	0
71	1	0
72	1	0
73	1	0
74	1	0
75	1	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	25	4
1	23	3
2	17	2
3	10	1
4	7	1
5	5	1
6	5	1
7	3	0
8	4	0
9	4	0
10	4	0
11	3	0
12	3	0
13	3	0
14	2	0
15	2	0
16	2	0
17	2	0
18	2	0
19	2	0
20	2	0
21	2	0
22	2	0
23	2	0
24	2	0
25	2	0
26	2	0
27	2	0
28	2	0
29	2	0
30	2	0
31	2	0
32	2	0
33	2	0
34	2	0
35	2	0
36	2	0
37	2	0
38	2	0
39	2	0
40	2	0
41	2	0
42	2	0
43	2	0
44	2	0
45	2	0
46	2	0
47	2	0
48	2	0
49	2	0
50	2	0
51	2	0
52	2	0
53	2	0
54	2	0
55	2	0
56	2	0
57	2	0
58	2	0
59	2	0
60	2	0
61	2	0
62	2	0
63	2	0
64	2	0
65	2	0
66	2	0
67	2	0
68	2	0
69	2	0
70	2	0
71	2	0
72	2	0
73	2	0
74	2	0
75	2	0
76	2	0
77	2	0
78	2	0
79	2	0
80	2	0
81	2	0
82	1	0
83	1	0
84	1	0
85	1	0
86	1	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	552	62
1	444	56
2	366	43
3	284	34
4	226	30
5	187	26
6	158	18
7	124	18
8	106	14
9	82	9
10	62	7
11	53	5
12	51	5
13	39	3
14	31	4
15	26	3
16	27	3
17	21	1
18	19	2
19	17	1
20	16	2
21	13	1
22	12	0
23	12	0
24	10	0
25	11	0
26	10	0
27	10	0
28	10	0
29	8	0
30	8	0
31	7	0
32	7	0
33	7	0
34	7	0
35	6	0
36	5	0
37	5	0
38	4	0
39	4	0
40	4	0
41	4	0
42	4	0
43	3	0
44	3	0
45	3	0
46	3	0
47	3	0
48	3	0
49	3	0
50	3	0
51	3	0
52	3	0
53	3	0
54	3	0
55	3	0
56	3	0
57	3	0
58	3	0
59	3	0
60	3	0
61	3	0
62	3	0
63	3	0
64	3	0
65	3	0
66	3	0
67	3	0
68	2	0
69	2	0
70	2	0
71	2	0
72	2	0
73	2	0
74	2	0
75	2	0
76	2	0
77	2	0
78	2	0
79	2	0
80	2	0
81	2	0
82	2	0
83	2	0
84	2	0
85	2	0
86	2	0
87	2	0
88	2	0
89	1	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	11	2
1	7	1
2	5	2
3	4	2
4	4	1
5	3	1
6	3	1
7	2	1
8	2	1
9	2	1
10	1	1
11	1	1
12	1	1
13	1	1
14	1	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	1
24	1	1
25	1	1
26	1	1
27	1	1
28	1	1
29	1	1
30	1	1
31	1	1
32	1	1
33	1	0
34	1	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	34	8
1	30	8
2	28	5
3	24	5
4	23	4
5	19	3
6	19	4
7	16	4
8	15	3
9	14	3
10	11	3
11	8	2
12	8	1
13	7	2
14	6	1
15	6	3
16	6	2
17	6	2
18	5	2
19	5	1
20	3	2
21	4	1
22	4	1
23	4	2
24	4	1
25	4	2
26	2	0
27	1	0
28	1	0
29	1	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	0	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	116	17
1	104	17
2	91	18
3	82	13
4	63	13
5	61	15
6	49	10
7	48	10
8	40	9
9	37	9
10	34	8
11	31	8
12	32	5
13	26	7
14	23	6
15	23	6
16	22	5
17	22	5
18	21	4
19	20	4
20	16	4
21	15	3
22	15	3
23	12	3
24	11	3
25	10	3
26	10	3
27	10	2
28	10	2
29	9	3
30	9	1
31	8	2
32	8	2
33	8	1
34	8	1
35	8	1
36	7	1
37	7	0
38	6	0
39	5	0
40	5	0
41	5	0
42	5	0
43	5	0
44	4	0
45	4	0
46	4	0
47	4	0
48	4	0
49	4	0
50	4	0
51	4	0
52	4	0
53	4	0
54	4	0
55	4	0
56	4	0
57	4	0
58	4	0
59	4	0
60	4	0
61	4	0
62	4	0
63	4	0
64	4	0
65	4	0
66	4	0
67	4	0
68	4	0
69	4	0
70	4	0
71	4	0
72	4	0
73	3	0
74	3	0
75	3	0
76	3	0
77	3	0
78	3	0
79	3	0
80	3	0
81	3	0
82	3	0
83	3	0
84	3	0
85	2	0
86	1	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	79	26
1	68	24
2	59	21
3	52	19
4	34	16
5	28	15
6	27	12
7	17	8
8	14	7
9	12	5
10	8	2
11	8	4
12	7	2
13	7	1
14	7	1
15	5	1
16	5	1
17	4	1
18	4	0
19	3	0
20	3	0
21	3	0
22	3	0
23	3	0
24	3	0
25	3	0
26	3	0
27	3	0
28	3	0
29	3	0
30	3	0
31	3	0
32	3	0
33	3	0
34	3	0
35	3	0
36	3	0
37	3	0
38	3	0
39	3	0
40	3	0
41	3	0
42	3	0
43	3	0
44	3	0
45	3	0
46	3	0
47	3	0
48	3	0
49	3	0
50	3	0
51	3	0
52	3	0
53	3	0
54	3	0
55	3	0
56	3	0
57	3	0
58	3	0
59	3	0
60	3	0
61	3	0
62	3	0
63	3	0
64	3	0
65	3	0
66	3	0
67	3	0
68	3	0
69	3	0
70	3	0
71	2	0
72	2	0
73	2	0
74	2	0
75	2	0
76	1	0
77	1	0
78	1	0
79	1	0
80	1	0
81	1	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	118	23
1	106	21
2	99	20
3	93	18
4	74	12
5	72	8
6	69	11
7	51	8
8	51	8
9	42	6
10	41	6
11	29	5
12	29	5
13	31	3
14	29	3
15	27	6
16	24	5
17	24	4
18	21	3
19	19	3
20	19	2
21	17	2
22	16	2
23	15	2
24	13	2
25	13	2
26	13	2
27	13	2
28	12	2
29	12	2
30	12	2
31	11	2
32	11	1
33	11	1
34	10	1
35	9	2
36	9	1
37	10	2
38	9	1
39	8	0
40	8	1
41	8	0
42	5	0
43	5	0
44	6	0
45	6	0
46	5	0
47	5	0
48	5	0
49	5	0
50	5	0
51	5	0
52	4	0
53	4	0
54	3	0
55	4	0
56	3	0
57	4	0
58	4	0
59	3	0
60	4	0
61	3	0
62	3	0
63	3	0
64	3	0
65	3	0
66	3	0
67	3	0
68	4	0
69	3	0
70	3	0
71	3	0
72	3	0
73	3	0
74	3	0
75	3	0
76	3	0
77	3	0
78	2	0
79	1	0
80	1	0
81	1	0
82	1	0
83	1	0
84	1	0
85	1	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	327	41
1	292	35
2	242	32
3	196	30
4	170	24
5	147	23
6	127	21
7	109	14
8	96	15
9	94	12
10	76	10
11	70	9
12	51	4
13	47	4
14	41	3
15	39	2
16	34	2
17	32	2
18	30	3
19	25	1
20	24	2
21	20	0
22	18	0
23	15	0
24	15	0
25	13	0
26	13	0
27	11	0
28	11	0
29	11	0
30	11	0
31	11	0
32	11	0
33	11	0
34	11	0
35	11	0
36	10	0
37	10	0
38	10	0
39	9	0
40	9	0
41	9	0
42	9	0
43	8	0
44	8	0
45	8	0
46	8	0
47	8	0
48	8	0
49	8	0
50	8	0
51	8	0
52	8	0
53	7	0
54	7	0
55	7	0
56	7	0
57	6	0
58	6	0
59	6	0
60	6	0
61	6	0
62	6	0
63	6	0
64	6	0
65	6	0
66	6	0
67	6	0
68	6	0
69	6	0
70	6	0
71	6	0
72	6	0
73	6	0
74	6	0
75	6	0
76	6	0
77	6	0
78	6	0
79	6	0
80	6	0
81	6	0
82	6	0
83	6	0
84	6	0
85	4	0
86	4	0
87	4	0
88	4	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
0	58	15
1	54	13
2	47	12
3	39	6
4	34	5
5	28	5
6	24	5
7	24	3
8	21	4
9	19	4
10	16	4
11	13	2
12	12	2
13	12	2
14	9	2
15	9	1
16	9	1
17	9	1
18	8	1
19	8	1
20	7	1
21	6	1
