# Delays	Number of extra gates	Number of optimal extra gates	Difference
10.0251798561	11	-4	15
7.75535168196	2	-3	5
9.30660377358	4	-4	8
12.8979166667	4	-1	5
12.9202226345	7	-2	9
7.30084745763	1	-3	4
8.37096774194	6	-3	9
11.5419847328	2	0	2
7.57239057239	2	-3	5
7.84225352113	5	0	5
18.4087591241	3	2	1
10.568627451	4	-17	21
9.10953058321	7	-6	13
19.9958071279	5	-2	7
10.776119403	1	-2	3
15.8691588785	1	0	1
22.0872483221	3	-2	5
11.3215898826	9	-15	24
11.71875	4	-1	5
14.3103448276	4	0	4
10.8898678414	3	-2	5
8.66685746995	19	-8	27
9.51530612245	3	1	2
13.814889336	5	-3	8
8.17034700315	4	-1	5
7.21198156682	2	0	2
7.82735426009	2	-4	6
7.3850931677	3	0	3
9.76958525346	5	1	4
12.4297520661	6	0	6
21.1235059761	5	-5	10
7.171875	2	-2	4
11.7716535433	2	-2	4
10.499669967	13	-13	26
11.2592592593	1	-2	3
10.9466019417	9	-1	10
11.1662125341	9	4	5
13.9602272727	3	-4	7
10.2351648352	9	-11	20
10.6013986014	3	-2	5
12.5837320574	7	4	3
9.83739837398	0	0	0
13.0495049505	1	0	1
10.8869565217	4	0	4
10.6481481481	2	-1	3
9.85853658537	2	-4	6
9.91810344828	2	-1	3
14.6536796537	3	-2	5
12.4035087719	2	1	1
14.4752066116	7	-11	18
13.2486187845	2	0	2
10.64013267	5	-7	12
8.32300884956	4	0	4
9.47040498442	2	-3	5
8.37010676157	3	-1	4
13.8851603281	16	-13	29
8.37356321839	2	-2	4
9.0294627383	6	-3	9
10.6674208145	16	-13	29
11.1699716714	5	2	3
13.3223570191	10	-1	11
14.5082987552	2	0	2
13.966507177	5	-13	18
11.4576271186	3	-2	5
10.1632270169	6	-2	8
10.880794702	2	0	2
10.0145772595	4	1	3
10.9674185464	5	-1	6
10.3098591549	1	-2	3
8.16893424036	4	-10	14
12.5397260274	10	-4	14
9.69874476987	3	-4	7
9.62230215827	4	-4	8
9.65584415584	3	-3	6
26.8099173554	2	-1	3
21.5735294118	2	-1	3
11.8516075845	9	-14	23
8.51339285714	1	0	1
13.6363636364	2	1	1
16.8407079646	1	-1	2
9.1593220339	5	0	5
11.0719211823	27	-7	34
8.03982300885	3	0	3
9.7252173913	1	-3	4
7.95275590551	6	-3	9
11.1841004184	5	0	5
8.04536489152	5	0	5
9.99453551913	2	-2	4
8.16176470588	2	-3	5
9.36440677966	0	-1	1
11.5658914729	6	-2	8
8.90987124464	3	-1	4
11.8541666667	1	-1	2
9.52076677316	16	-6	22
9.83185840708	0	-2	2
11.0081967213	2	1	1
12.109919571	6	-1	7
11.0412844037	6	-3	9
13.174	9	-8	17
13.3640922768	18	-12	30
10.8163934426	4	-1	5
9.54468085106	4	-1	5
9.58333333333	1	-1	2
6.89423076923	0	-2	2
12.0673076923	1	-1	2
8.80216802168	1	-6	7
7.4203539823	1	-1	2
15.9439252336	1	-3	4
16.7641509434	0	-2	2
18.2468007313	10	-8	18
12.8805031447	4	1	3
9.21946564885	5	-2	7
15.506097561	2	-3	5
13.4014869888	3	-2	5
15.5421686747	4	-1	5
21.9984459984	41	3	38
10.8648648649	3	0	3
14.0926315789	10	-2	12
17.8274509804	13	-2	15
12.3033333333	2	-2	4
24.6342857143	1	-4	5
13.2241813602	5	3	2
44.2342657343	3	-11	14
14.6294642857	2	-2	4
14.0963114754	7	-3	10
19.8195488722	7	3	4
8.6234939759	2	-2	4
26.9263157895	3	-4	7
11.4278215223	9	-10	19
11.3808095952	12	1	11
28.0736434109	4	2	2
12.5145348837	5	-6	11
13.4779411765	2	-1	3
21.0277777778	2	-2	4
13.8433268859	11	-4	15
6.8995215311	0	0	0
13.1067961165	3	0	3
21.5449438202	4	-3	7
14.2761506276	2	-1	3
11.9792883696	20	-18	38
11.4950980392	4	0	4
18.7820267686	6	1	5
18.7068965517	2	-6	8
14.8636363636	7	2	5
10.672489083	3	-9	12
16.7485380117	4	1	3
10.127340824	2	-3	5
11.5405405405	0	0	0
87.0090909091	4	0	4
7.14090909091	1	-3	4
24.8205128205	2	0	2
10.2761037141	19	-3	22
12.3551401869	1	-2	3
16.21	2	-1	3
13.7307692308	5	-2	7
18.7153465347	10	2	8
15.1685144124	4	-5	9
13.3185731857	5	-10	15
24.7425149701	3	-1	4
15.0492610837	5	0	5
9.78512396694	1	0	1
17.787037037	5	2	3
6.12745098039	0	0	0
18.3766578249	5	-8	13
7.99565217391	3	0	3
9.72197309417	2	-3	5
18.3653846154	2	0	2
16.4924578527	11	-16	27
22.251497006	4	1	3
10.3100158983	11	-2	13
19.5268817204	4	-2	6
25.5890410959	11	3	8
7.28832116788	2	-2	4
30.0161912105	58	11	47
19.1964285714	5	1	4
18.0948766603	10	-5	15
13.998783455	9	-6	15
15.0396341463	10	3	7
13.1327561328	16	2	14
16.2418604651	6	-4	10
20.4099099099	13	3	10
11.6724137931	1	-1	2
13.1257142857	11	1	10
12.9432624113	2	1	1
9.74850299401	5	-2	7
16.6160714286	9	2	7
29.6166666667	3	-1	4
11.9824355972	7	-12	19
25.2696335079	15	7	8
20.4057649667	12	0	12
23.8354114713	13	4	9
28.013986014	6	2	4
18.9902912621	0	0	0
30.2393162393	6	4	2
16.9099437148	11	-14	25
7.8679245283	0	0	0
23.2549019608	5	-1	6
19.5137254902	6	-2	8
12.9974836437	28	-8	36
12.9209302326	4	0	4
13.7145522388	3	-5	8
16.7598784195	11	2	9
10.4061135371	1	-2	3
9.3685300207	4	-8	12
12.4678362573	2	-1	3
7.1015037594	1	-1	2
12.4065420561	9	-11	20
45.9614325069	9	-2	11
9.0269058296	1	-4	5
16.8692307692	3	1	2
12.397979798	23	-2	25
14.2477876106	1	-1	2
10.4821428571	3	-1	4
23.6558823529	8	-1	9
18.990521327	15	6	9
21.0628930818	14	-2	16
9.40517241379	0	0	0
27.0224719101	7	4	3
11.537037037	4	-1	5
29.6446280992	2	1	1
21.5480769231	4	2	2
18.9557522124	3	0	3
8.16216216216	2	1	1
14.4963325183	6	-5	11
15.1260869565	2	-4	6
13.4115044248	2	-2	4
20.7672413793	2	1	1
16.7197032152	11	-21	32
17.8967391304	5	1	4
11.2470414201	9	-4	13
15.5714285714	2	-2	4
16.5587301587	5	1	4
12.1423611111	6	-1	7
19.4680252987	35	7	28
16.5549450549	6	0	6
19.3276450512	9	-9	18
16.9944506104	18	-8	26
14.4213483146	6	-1	7
16.1044520548	19	7	12
15.7385892116	7	1	6
28.214849921	21	0	21
8.20253164557	2	-1	3
14.0810313076	11	5	6
25.8859060403	5	0	5
13.253125	2	-3	5
13.6265356265	9	0	9
20.5862068966	3	2	1
12.5940706956	8	-11	19
15.8299595142	24	0	24
15.079002079	4	-3	7
18.3460207612	5	-4	9
11.1132075472	6	1	5
17.9669421488	3	0	3
33.5338345865	3	1	2
24.0760233918	12	-12	24
15.0627802691	2	0	2
25.9727272727	0	-1	1
18.2869955157	3	-4	7
21.575862069	8	4	4
13.2210526316	30	-13	43
14.9900990099	9	5	4
18.2658662093	10	1	9
13.1308641975	6	0	6
17.6300813008	7	0	7
15.3019607843	5	-7	12
14.1472392638	2	-1	3
15.9848484848	4	-1	5
16.3217391304	0	0	0
20.257751938	7	0	7
19.380952381	5	-1	6
13.2916666667	2	-1	3
13.0982849604	30	-4	34
22.018018018	1	-2	3
13.1	1	-2	3
17.6084656085	8	0	8
15.0448430493	13	5	8
17.6660341556	8	-6	14
18.7200878156	19	-6	25
24.3223684211	6	-1	7
14.4678111588	5	2	3
12.8429752066	3	1	2
19.4952380952	2	-1	3
27.0847457627	1	0	1
13.896039604	3	-7	10
13.6536796537	3	-1	4
11.349137931	0	-2	2
23.1698113208	4	1	3
13.971169687	9	-18	27
25.7848837209	4	-2	6
18.5090634441	19	0	19
18.0139534884	5	1	4
21.3606557377	10	2	8
10.2698961938	3	0	3
49.2666060055	30	-9	39
12.5168539326	3	-1	4
17.2601054482	9	-3	12
13.3465011287	7	-15	22
11.8735632184	3	-2	5
18.6427350427	11	1	10
15.7724425887	6	-2	8
23.1591639871	16	-2	18
8.3557312253	2	-1	3
24.8738229755	12	2	10
28.0266666667	6	2	4
20.1929133858	9	2	7
17.6315789474	10	3	7
24.843537415	4	1	3
13.1152968037	5	-7	12
17.4465493911	17	-2	19
16.4789915966	7	-2	9
15.7228070175	4	-9	13
20.0569620253	7	1	6
11.9576271186	2	-1	3
11.2279411765	2	0	2
19.1263598326	8	-10	18
12.2488687783	2	-1	3
23.1428571429	4	-1	5
19.7862318841	5	0	5
17.8258950466	30	4	26
28.18	6	2	4
13.5	6	-1	7
11.7222222222	6	2	4
22.6422413793	9	3	6
13.3226452906	5	-7	12
26.2051282051	4	1	3
19.8739495798	7	2	5
12.5254237288	1	-1	2
17.6124031008	7	-2	9
10.2735042735	1	-2	3
24.6928571429	6	2	4
15.0816599732	29	0	29
27.0714285714	1	-2	3
17.3445378151	3	-1	4
14.4112903226	7	-3	10
21.6728723404	8	2	6
18.3268858801	10	-6	16
44.2220708447	39	7	32
25.0721311475	7	3	4
31.5882352941	9	5	4
20.1724137931	1	-1	2
12.1650793651	2	-6	8
6.14743589744	1	-3	4
5.93377483444	0	-4	4
17.5410334347	8	-8	16
13.0427350427	3	0	3
8.79885057471	9	1	8
12.1360544218	0	-2	2
12.5384615385	3	-3	6
9.06222222222	1	-1	2
19.8402710552	25	10	15
11.0558659218	5	0	5
14.1731092437	11	-5	16
15.0323943662	7	-11	18
10.4504792332	5	-3	8
15.3105590062	5	-1	6
16.9750519751	3	-2	5
6.97872340426	3	-1	4
15.0866141732	4	-2	6
20.724137931	4	1	3
8.80088495575	3	-1	4
22.0066666667	10	7	3
32.2265625	3	1	2
9.77209944751	7	-22	29
13.2556270096	10	-4	14
15.3387096774	3	-9	12
14.6869565217	2	0	2
22.664516129	4	1	3
12.6096997691	8	-9	17
5.85430463576	0	0	0
27.4206349206	3	0	3
11.1379310345	5	0	5
14.0795241077	19	-5	24
9.26086956522	2	-1	3
11.6658986175	1	-8	9
9.3	3	-2	5
10.6234567901	3	1	2
10.6153846154	5	-5	10
9.72131147541	2	-1	3
8.05732484076	2	2	0
13.5691489362	7	-3	10
27.7488687783	11	0	11
6.96052631579	1	-2	3
10.1489191353	20	-7	27
16.3134715026	4	-2	6
18.1671232877	6	-5	11
20.5273972603	7	0	7
11.9470404984	6	2	4
15.0222841226	14	2	12
13.628959276	5	3	2
17.4944444444	6	2	4
13.0909090909	1	-1	2
23.2037037037	0	-3	3
19.2767857143	1	-1	2
14.9122340426	6	-1	7
14.887755102	7	5	2
9.93401015228	2	0	2
19.4752475248	2	0	2
16.3776041667	18	-4	22
19.3333333333	3	0	3
14.137755102	11	1	10
14.8473684211	5	-2	7
16.4578754579	8	3	5
17.3970037453	2	-3	5
26.4347079038	31	1	30
16.0171428571	4	-2	6
15.2677029361	6	-3	9
11.3333333333	12	-4	16
12.0726744186	4	-4	8
17.5276679842	15	1	14
12.5239085239	6	-1	7
18.1514018692	10	1	9
15.0085106383	1	-1	2
16.979338843	11	1	10
14.4485294118	0	-3	3
11.9037800687	2	-3	5
19.3571428571	7	0	7
22.2323943662	1	0	1
12.1041162228	7	-16	23
12.0223463687	9	-6	15
14.1634146341	8	-3	11
18.0557768924	8	-2	10
12.2101449275	3	0	3
8.57547169811	1	0	1
11.7430555556	3	0	3
15.7032967033	12	-9	21
11.7055837563	3	-1	4
20.89	3	0	3
21.1034482759	2	-3	5
17.3568281938	5	1	4
12.9979705733	26	-8	34
12.1256281407	4	0	4
17.4334532374	4	-4	8
13.7303370787	9	-1	10
15.3188405797	4	-2	6
16.6745182013	2	-6	8
14.0552147239	1	-2	3
13.3333333333	4	0	4
8.17	2	2	0
23.7328094303	7	-4	11
10.8578680203	3	-3	6
22.671875	1	-2	3
10.7753623188	14	-7	21
10.5377358491	1	-1	2
12.8991825613	6	0	6
36.7952755906	9	-1	10
21.8063157895	9	-1	10
10.8213507625	10	-9	19
14.1302816901	3	0	3
10.1203703704	3	1	2
29.7	2	-1	3
20.4455445545	3	1	2
16.5225225225	2	-1	3
20.4018691589	2	0	2
12.9546599496	3	-7	10
12.9910714286	4	2	2
9.56086956522	1	-3	4
25.9724770642	3	1	2
13.2283333333	11	-10	21
20.4320987654	4	1	3
12.2369747899	5	-10	15
11.6186046512	4	-2	6
12.1578947368	8	-1	9
17.0494699647	3	-1	4
21.7852049911	30	6	24
13.3197674419	3	-1	4
12.3425605536	7	-4	11
19.4885844749	17	-8	25
10.5523255814	8	2	6
14.4247787611	12	-4	16
10.6855345912	4	-4	8
29.5869918699	16	-7	23
6.53191489362	1	-2	3
18.9118198874	13	-1	14
28.306122449	9	5	4
11.7915407855	3	1	2
12.1809045226	5	-3	8
20.4246575342	1	0	1
10.2568807339	7	-14	21
15.5546334716	20	4	16
11.6778947368	3	-4	7
11.215034965	7	-6	13
10.6887417219	4	-1	5
9.80172413793	1	-1	2
10.8914728682	2	-1	3
25.9666958808	20	-2	22
10.9815668203	0	0	0
14.1682242991	3	3	0
18.2142857143	5	2	3
15.688172043	3	-4	7
12.7374274662	26	-8	34
13.5837104072	4	1	3
12.8812392427	5	-3	8
12.1212121212	7	-2	9
17.5434782609	7	2	5
15.2248995984	3	-6	9
12.5524861878	2	-2	4
12.2767527675	2	0	2
15.7272727273	14	-5	19
17.1996086106	7	-4	11
12.9527896996	2	-1	3
19.9338235294	4	-1	5
12.235483871	22	-4	26
12.5585585586	1	-2	3
9.77586206897	2	0	2
10.9653333333	5	-1	6
13.1732954545	7	2	5
18.5620155039	10	-1	11
7.46551724138	0	0	0
16.133105802	4	0	4
14.3783783784	4	1	3
9.73529411765	0	-1	1
8.46153846154	2	1	1
21.7564469914	19	5	14
10.0228310502	5	2	3
9.20574162679	1	-2	3
13.089047195	10	-14	24
9.27338129496	3	0	3
8.30652173913	3	-5	8
14.1617647059	2	-2	4
13.507751938	3	1	2
9.81609195402	3	-1	4
19.9685658153	22	-1	23
13.175	3	0	3
13.568359375	6	-2	8
13.9517923362	10	-4	14
13.0697674419	2	-1	3
14.3320683112	8	1	7
9.3475	2	0	2
7.87837837838	3	-1	4
15.9630390144	9	4	5
11.592920354	2	0	2
19.1464646465	7	2	5
9.9297752809	3	-3	6
21.4444444444	1	1	0
9.61074705111	5	-13	18
12.2792792793	10	1	9
9.28841607565	2	-2	4
8.26219512195	2	-7	9
9.78861788618	1	-1	2
14.3365384615	0	-1	1
12.5161290323	1	-1	2
9.43843843844	4	-2	6
10.9651741294	3	0	3
22.4112903226	2	-3	5
10.2276422764	5	-3	8
39.2571428571	9	-16	25
18.9337016575	4	1	3
9.27586206897	2	-6	8
10.6638176638	6	-2	8
10.6224489796	4	-1	5
12.0363247863	4	-7	11
17.4518518519	4	0	4
13.2718894009	2	-3	5
6.35087719298	0	0	0
10.6431718062	4	-7	11
10.7741935484	3	-3	6
12.781512605	1	-1	2
12.0427350427	20	-1	21
9.8	0	-2	2
15.3669064748	5	-6	11
12.0836012862	5	-2	7
15.1278846154	15	-3	18
21.1103603604	7	-2	9
42.8516129032	14	-2	16
24.7857142857	4	1	3
45.131147541	6	0	6
26.2980769231	3	0	3
29.7085714286	16	11	5
13.6666666667	3	0	3
14.5680751174	4	-3	7
32.7384196185	29	-2	31
25.6064516129	2	1	1
17.2148626817	12	-4	16
30.8333333333	6	2	4
17.8615384615	5	1	4
18.3223443223	3	0	3
19.2829900839	27	2	25
27.9202453988	9	6	3
25.7950191571	9	-2	11
30.3029925187	19	-8	27
20.6677740864	12	4	8
19.2941176471	14	0	14
19.7648456057	7	-4	11
20.2190305206	13	0	13
10.5670995671	2	-2	4
17.8199608611	12	7	5
26.4919354839	3	-2	5
16.2749140893	9	5	4
26.7282608696	9	0	9
51.5416666667	2	2	0
16.4348341232	10	-17	27
26.0518234165	12	1	11
17.3902912621	5	-9	14
27.1338028169	5	2	3
32.8095238095	6	0	6
24.5365853659	2	-2	4
13.9220779221	4	0	4
15.3333333333	4	-1	5
21.88	3	-1	4
13.1195219124	2	-2	4
190.480072464	60	38	22
21.5329949239	6	2	4
27.4186915888	6	-3	9
25.1340782123	10	1	9
18.4429223744	4	2	2
17.9546391753	8	-6	14
27.6503067485	3	0	3
13.0840336134	3	-1	4
25.9907692308	12	5	7
37.7945492662	11	-2	13
16.9107981221	5	0	5
28.3053435115	4	1	3
25.8884120172	12	-6	18
12.7353361946	23	-5	28
11.6111111111	1	-2	3
16.1004784689	5	-3	8
18.9275634995	14	-4	18
28.649122807	11	-1	12
9.86607142857	0	0	0
36.8014981273	2	-3	5
39.904109589	7	5	2
42.0333333333	3	0	3
27.7788461538	2	-1	3
12.1696428571	1	-2	3
21.3055555556	5	-4	9
16.7564102564	3	-1	4
16.9022222222	2	-3	5
22.5427385892	18	-17	35
46.3609467456	6	1	5
18.5226586103	10	-4	14
31.2524752475	3	-1	4
31.5317725753	9	3	6
17.5246478873	3	0	3
42.8183292782	66	28	38
35.9005847953	6	2	4
27.6049822064	13	1	12
16.5308641975	13	-10	23
26.1329305136	7	3	4
28.7619047619	23	5	18
26.1241830065	9	-2	11
21.8060897436	18	-1	19
7.32773109244	2	-1	3
52.6706114398	23	11	12
32.6853146853	4	1	3
25.2222222222	7	4	3
22.4923857868	9	0	9
42.5373134328	5	2	3
17.0974477958	12	-12	24
31.8248974008	24	7	17
27.7680525164	7	-1	8
21.4723707665	11	-2	13
35.3931034483	3	-1	4
28.4444444444	4	0	4
20.1145038168	3	0	3
17.432885906	3	-1	4
17.8165137615	4	0	4
19.5625	4	-2	6
25.6691449814	6	-1	7
122.928735632	60	20	40
14.4633027523	4	0	4
29.4108391608	14	4	10
23.5818181818	13	4	9
25.1674208145	6	0	6
18.7821782178	7	-7	14
21.7624309392	5	4	1
16.4102564103	4	-2	6
24.9438202247	13	1	12
43.1206225681	8	-3	11
24.2599118943	3	-3	6
36.7328244275	5	1	4
15.9015873016	16	-6	22
15.1030383091	26	6	20
15.2522522523	0	-1	1
41.6057692308	5	2	3
22.8039215686	4	3	1
26.1804170444	17	-17	34
45.135193133	15	-8	23
17.8965517241	1	0	1
26.3972125436	3	1	2
36.5446428571	8	3	5
12.6890756303	1	0	1
25.5982142857	3	0	3
6.98305084746	2	-1	3
17.1760391198	4	-9	13
19.632034632	5	1	4
17.7863247863	3	-2	5
20.3243243243	6	2	4
15.151391162	13	-9	22
17.6781609195	4	0	4
11.0160818713	7	-4	11
22.1924882629	5	0	5
16.6865203762	6	0	6
16.2283737024	4	0	4
22.2706983441	35	1	34
14.7701149425	4	0	4
14.8730434783	7	-4	11
16.6822742475	12	-14	26
15.5426136364	5	-2	7
12.9703832753	11	-3	14
14.9077568134	5	2	3
15.5496062992	9	-14	23
9.86614173228	2	-2	4
18.3295454545	13	5	8
28.2466666667	3	0	3
13.636627907	6	0	6
10.1990049751	4	-3	7
30.2517482517	4	1	3
13.1361079865	6	-11	17
21.0978552279	20	0	20
15.8197573657	4	-6	10
14.6375	3	-1	4
15.9083333333	2	1	1
7.19117647059	1	0	1
17.0721153846	14	7	7
15.4009009009	1	0	1
16.1302325581	2	-2	4
14.9450171821	4	0	4
35.1356113187	67	26	41
19.9330357143	5	-1	6
20.6947368421	11	2	9
15.6817042607	9	0	9
16.0532786885	5	1	4
10.8958742633	3	-7	10
19.0944444444	8	4	4
15.8698884758	3	-1	4
16.6459459459	11	2	9
12.1245210728	2	-5	7
14.5622317597	3	-1	4
19.1655172414	3	-1	4
16.2060041408	12	-8	20
11.1568627451	24	3	21
16.7105263158	0	-1	1
23.1764705882	2	0	2
12.6170212766	5	-3	8
30.5531167691	21	-7	28
23.8594059406	12	-1	13
19.1724137931	1	0	1
14.7707641196	2	-2	4
14.0643776824	6	0	6
