# Delays	Number of extra gates	Number of optimal extra gates	Difference
59.7197640118	21	12	9
61.5469448584	36	8	28
44.4840764331	14	0	14
21.6640926641	2	-2	4
44.5157480315	26	17	9
55.1853146853	19	10	9
65.8508287293	19	14	5
118.384057971	16	9	7
45.6041189931	28	-7	35
76.2335025381	28	8	20
72.3866348449	23	9	14
109.623126338	18	6	12
42.2781954887	2	0	2
162.519230769	10	5	5
116.301969365	33	16	17
32.1336898396	8	-1	9
65.2582781457	5	3	2
54.7955138237	71	7	64
61.0721153846	7	2	5
34.5957792208	16	3	13
48.4722222222	15	9	6
63.6532663317	15	9	6
40.7222222222	11	-7	18
48.9204545455	7	3	4
58.0236966825	13	5	8
53.8461538462	3	0	3
181.375	35	12	23
37.5046728972	5	0	5
27.7512195122	45	4	41
75.495412844	5	1	4
47.7433628319	7	3	4
79.9710982659	16	3	13
77.5286738351	55	17	38
80.8991097923	6	-8	14
39.3758865248	38	8	30
92.157480315	16	3	13
49.7908163265	7	3	4
46.5298507463	6	2	4
27.4344262295	2	-1	3
39.1383495146	6	-9	15
42.9086956522	4	0	4
34.3225806452	6	-3	9
40.3577170418	23	-9	32
66.8692307692	10	5	5
30.6363636364	24	7	17
43.3179487179	7	3	4
73.833976834	15	5	10
32.9862542955	8	1	7
76.7674418605	29	8	21
70.6899224806	5	2	3
65.5682242991	21	6	15
31.9526952695	18	-5	23
50.024691358	17	6	11
48.9900568182	36	7	29
42.2026431718	18	2	16
73.1473296501	16	-1	17
13.2093023256	0	-3	3
48.3113006397	21	5	16
62.5932721713	17	3	14
35.3978494624	12	3	9
54.0181818182	7	2	5
27.2559188275	18	-13	31
71.6545012165	33	15	18
66.3071593533	26	9	17
67.5108108108	26	6	20
65.1074380165	6	3	3
113.134751773	11	5	6
58.3608957795	35	13	22
23.691943128	4	-1	5
73.3644067797	7	2	5
85.3261802575	18	8	10
52.5745243129	88	27	61
34.0509259259	10	4	6
29.3787085515	9	3	6
37.503164557	11	2	9
68.4507042254	17	9	8
34.3489681051	8	-6	14
44.0054347826	10	5	5
59.4398496241	11	2	9
30.9826086957	1	-2	3
54.5747126437	13	0	13
39.2162162162	3	-3	6
35.7672826831	62	14	48
34.0869565217	2	0	2
55.6363636364	5	3	2
71.7056962025	18	5	13
105.108225108	27	4	23
82.144772118	23	4	19
54.5393386545	42	15	27
75.7985074627	15	7	8
52.095	9	2	7
43.0086206897	5	2	3
9.38679245283	2	0	2
21.0252808989	7	-7	14
27.0913461538	3	-1	4
20.7804878049	3	-1	4
27.0460176991	16	-14	30
58.6	8	2	6
30.1828153565	16	0	16
45.4325842697	6	2	4
41.7565543071	15	1	14
17.7423076923	3	-1	4
54.5108853411	32	12	20
49.4797297297	9	3	6
47.650671785	15	-2	17
23.7905236908	18	-6	24
44.053968254	19	6	13
31.9073529412	25	4	21
33.2360801782	9	0	9
32.5476190476	15	4	11
7.9313304721	1	-2	3
32.829787234	20	8	12
38.3803680982	8	7	1
24.9351351351	11	2	9
50.694214876	6	4	2
28.8920676203	12	-4	16
45.3838383838	27	16	11
46.0705882353	19	0	19
40.983908046	12	0	12
41.3166666667	5	2	3
60.6862745098	3	1	2
64.1363636364	11	6	5
29.2626362735	20	-3	23
16.3883495146	2	0	2
42.4117647059	5	1	4
40.6877637131	12	2	10
63.8758769563	113	47	66
21.2376237624	7	2	5
27.8288973384	7	-3	10
36.7711864407	14	2	12
35.2216494845	12	3	9
13.5230125523	6	-6	12
26.3837209302	10	1	9
27.8352941176	9	0	9
22.4444444444	0	-1	1
79.0863874346	14	5	9
23.2898550725	5	-1	6
59.1730769231	6	2	4
24.9250681199	41	2	39
20.3762376238	0	-1	1
34.5742574257	3	2	1
44.4817073171	13	3	10
35.9880952381	17	4	13
61.5221843003	16	0	16
24.8033635188	23	7	16
52.842519685	9	3	6
29.3033175355	9	1	8
20.814516129	3	0	3
28.5	4	3	1
12.5	1	0	1
24.2647058824	7	-2	9
19.875	6	3	3
16.5727272727	0	-3	3
26.8878504673	3	1	2
27.5327510917	21	-11	32
22.1929824561	3	1	2
18.4248861912	14	-1	15
28.612244898	5	-2	7
38.5526315789	8	0	8
14.5890909091	3	-2	5
41.9937402191	63	16	47
